,NAME_2,Sum_of_Lights_2015
0,Nicobar Islands,2886.0
1,North and Middle Andaman,8289.0
2,South Andaman,7931.0
3,Anantapur,171366.0
4,Chittoor,158948.0
5,East Godavari,126663.0
6,Guntur,130796.0
7,Krishna,100699.0
8,Kurnool,159666.0
9,Nellore,138118.0
10,Prakasam,161919.0
11,Srikakulam,60670.0
12,Visakhapatnam,122502.0
13,Vizianagaram,50525.0
14,West Godavari,79196.0
15,Y.S.R.,128555.0
16,Anjaw,1233.0
17,Anjaw,4011.0
18,Changlang,13813.0
19,Dibang Valley,2371.0
20,East Kameng,6745.0
21,East Siang,5849.0
22,East Siang,5604.0
23,Kurung Kumey,3098.0
24,Lohit,7915.0
25,Lohit,0.0
26,Longding,3446.0
27,Lower Dibang Valley,3872.0
28,Lower Dibang Valley,389.0
29,Lower Subansiri,10626.0
30,Namsai,3667.0
31,Papum Pare,21092.0
32,Tawang,3828.0
33,Tirap,5621.0
34,Upper Siang,3076.0
35,Upper Subansiri,5927.0
36,West Kameng,15696.0
37,West Siang,8644.0
38,Baksa,21731.0
39,Barpeta,19899.0
40,Bongaigaon,11533.0
41,Cachar,33017.0
42,Chirang,11755.0
43,Darrang,16018.0
44,Dhemaji,16880.0
45,Dhubri,24744.0
46,Dibrugarh,70704.0
47,Dima Hasao,34874.0
48,Goalpara,22038.0
49,Golaghat,40800.0
50,Hailakandi,14021.0
51,Jorhat,27059.0
52,Kamrup,39601.0
53,Kamrup Metropolitan,19895.0
54,Karbi Anglong,70105.0
55,Karimganj,17734.0
56,Kokrajhar,28283.0
57,Lakhimpur,23926.0
58,Morigaon,14989.0
59,Nagaon,43123.0
60,Nalbari,9452.0
61,Sivasagar,41557.0
62,Sonitpur,48667.0
63,Tinsukia,71204.0
64,Udalguri,21600.0
65,Araria,29858.0
66,Arwal,8250.0
67,Aurangabad,40913.0
68,Banka,30601.0
69,Begusarai,29337.0
70,Bhagalpur,38618.0
71,Bhojpur,29831.0
72,Buxar,19851.0
73,Darbhanga,28746.0
74,Gaya,66433.0
75,Gopalganj,22413.0
76,Jamui,26199.0
77,Jehanabad,15047.0
78,Kaimur,27584.0
79,Katihar,31410.0
80,Khagaria,14050.0
81,Kishanganj,21507.0
82,Lakhisarai,14349.0
83,Madhepura,23030.0
84,Madhubani,38327.0
85,Munger,17616.0
86,Muzaffarpur,42594.0
87,Nalanda,39006.0
88,Nawada,25865.0
89,Pashchim Champaran,42752.0
90,Patna,74112.0
91,Purba Champaran,39934.0
92,Purnia,37535.0
93,Rohtas,45243.0
94,Saharsa,21811.0
95,Samastipur,33052.0
96,Saran,35824.0
97,Sheikhpura,7454.0
98,Sheohar,5761.0
99,Sitamarhi,20770.0
100,Siwan,23013.0
101,Supaul,28298.0
102,Vaishali,31666.0
103,Chandigarh,9352.0
104,Balod,26349.0
105,Baloda Bazar,64438.0
106,Balrampur,43805.0
107,Bastar,43155.0
108,Bemetara,37422.0
109,Bijapur,47157.0
110,Bilaspur,91907.0
111,Dantewada,23383.0
112,Dhamtari,35621.0
113,Durg,59664.0
114,Gariaband,30609.0
115,Janjgir-Champa,71307.0
116,Jashpur,47688.0
117,Kabeerdham,48371.0
118,Kondagaon,30920.0
119,Korba,82678.0
120,Koriya,45514.0
121,Mahasamund,53691.0
122,Mungeli,36076.0
123,Narayanpur,16040.0
124,Raigarh,105528.0
125,Raipur,83143.0
126,Rajnandgaon,81632.0
127,Sukma,24655.0
128,Surajpur,45544.0
129,Surguja,36179.0
130,Uttar Bastar Kanker,48112.0
131,Dadra and Nagar Haveli,15517.0
132,Daman,3841.0
133,Diu,679.0
134,North Goa,32758.0
135,South Goa,23567.0
136,Ahmadabad,126525.0
137,Amreli,73435.0
138,Anand,44172.0
139,Aravalli,33286.0
140,Banas Kantha,105079.0
141,Bharuch,97856.0
142,Bhavnagar,75690.0
143,Botad,16655.0
144,Chhota Udaipur,34385.0
145,Dahod,44224.0
146,Devbhumi Dwarka,55779.0
147,Gandhinagar,47485.0
148,Gir Somnath,28594.0
149,Jamnagar,93397.0
150,Junagadh,69626.0
151,Kachchh,222329.0
152,Kheda,56747.0
153,Mahesana,69085.0
154,Mahisagar,22993.0
155,Morbi,58356.0
156,Narmada,22346.0
157,Navsari,26096.0
158,Panch Mahals,35191.0
159,Patan,58339.0
160,Porbandar,23475.0
161,Rajkot,99009.0
162,Sabar Kantha,42854.0
163,Surat,99396.0
164,Surendranagar,92238.0
165,Tapi,30388.0
166,The Dangs,10344.0
167,Vadodara,78986.0
168,Valsad,43506.0
169,Ambala,38839.0
170,Bhiwani,61005.0
171,Faridabad,47566.0
172,Fatehabad,34202.0
173,Gurgaon,56068.0
174,Hisar,60213.0
175,Jhajjar,42959.0
176,Jind,44622.0
177,Kaithal,40017.0
178,Karnal,60082.0
179,Kurukshetra,34961.0
180,Mahendragarh,32123.0
181,Mewat,28656.0
182,Palwal,21116.0
183,Panchkula,18844.0
184,Panipat,40154.0
185,Rewari,30501.0
186,Rohtak,31847.0
187,Sirsa,58055.0
188,Sonipat,52995.0
189,Yamunanagar,24933.0
190,Bilaspur,13784.0
191,Chamba,26662.0
192,Hamirpur,11324.0
193,Kangra,46860.0
194,Kinnaur,15396.0
195,Kinnaur,378.0
196,Kinnaur,0.0
197,Kullu,22525.0
198,Lahul & Spiti,5739.0
199,Lahul & Spiti,96.0
200,Mandi,31030.0
201,Shimla,35676.0
202,Sirmaur,24891.0
203,Solan,31113.0
204,Una,17875.0
205,Anantnag,16921.0
206,Badgam,13089.0
207,Bandipore,6160.0
208,Baramulla,26086.0
209,Doda,17703.0
210,Ganderbal,9796.0
211,Jammu,63791.0
212,Kargil,14689.0
213,Kathua,38357.0
