,NAME_2,Sum_of_Lights_2012
0,Nicobar Islands,883.0
1,North and Middle Andaman,2093.0
2,South Andaman,5025.0
3,Anantapur,151720.0
4,Chittoor,153549.0
5,East Godavari,99658.0
6,Guntur,133919.0
7,Krishna,111309.0
8,Kurnool,106844.0
9,Nellore,115764.0
10,Prakasam,104642.0
11,Srikakulam,48884.0
12,Visakhapatnam,86590.0
13,Vizianagaram,39602.0
14,West Godavari,84223.0
15,Y.S.R.,98937.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,4100.0
19,Dibang Valley,0.0
20,East Kameng,120.0
21,East Siang,236.0
22,East Siang,152.0
23,Kurung Kumey,0.0
24,Lohit,466.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,25.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,960.0
30,Namsai,979.0
31,Papum Pare,5040.0
32,Tawang,150.0
33,Tirap,320.0
34,Upper Siang,0.0
35,Upper Subansiri,208.0
36,West Kameng,1154.0
37,West Siang,436.0
38,Baksa,2426.0
39,Barpeta,5051.0
40,Bongaigaon,4567.0
41,Cachar,9648.0
42,Chirang,4904.0
43,Darrang,6702.0
44,Dhemaji,1500.0
45,Dhubri,3750.0
46,Dibrugarh,43244.0
47,Dima Hasao,4277.0
48,Goalpara,9902.0
49,Golaghat,21309.0
50,Hailakandi,2121.0
51,Jorhat,12475.0
52,Kamrup,21855.0
53,Kamrup Metropolitan,17350.0
54,Karbi Anglong,11237.0
55,Karimganj,3559.0
56,Kokrajhar,9590.0
57,Lakhimpur,3339.0
58,Morigaon,3817.0
59,Nagaon,17572.0
60,Nalbari,4255.0
61,Sivasagar,21320.0
62,Sonitpur,19022.0
63,Tinsukia,39822.0
64,Udalguri,8039.0
65,Araria,3769.0
66,Arwal,174.0
67,Aurangabad,5490.0
68,Banka,2263.0
69,Begusarai,9790.0
70,Bhagalpur,14112.0
71,Bhojpur,3606.0
72,Buxar,2899.0
73,Darbhanga,5621.0
74,Gaya,10993.0
75,Gopalganj,5331.0
76,Jamui,1243.0
77,Jehanabad,1331.0
78,Kaimur,5375.0
79,Katihar,4660.0
80,Khagaria,1660.0
81,Kishanganj,4232.0
82,Lakhisarai,1304.0
83,Madhepura,2748.0
84,Madhubani,6008.0
85,Munger,3063.0
86,Muzaffarpur,13869.0
87,Nalanda,9578.0
88,Nawada,1717.0
89,Pashchim Champaran,4791.0
90,Patna,33821.0
91,Purba Champaran,4761.0
92,Purnia,10011.0
93,Rohtas,11796.0
94,Saharsa,3265.0
95,Samastipur,7643.0
96,Saran,10917.0
97,Sheikhpura,1036.0
98,Sheohar,202.0
99,Sitamarhi,2407.0
100,Siwan,2537.0
101,Supaul,4945.0
102,Vaishali,9142.0
103,Chandigarh,9607.0
104,Balod,14668.0
105,Baloda Bazar,33458.0
106,Balrampur,1618.0
107,Bastar,7360.0
108,Bemetara,28124.0
109,Bijapur,888.0
110,Bilaspur,50998.0
111,Dantewada,5617.0
112,Dhamtari,16674.0
113,Durg,54196.0
114,Gariaband,2858.0
115,Janjgir-Champa,49647.0
116,Jashpur,4876.0
117,Kabeerdham,21488.0
118,Kondagaon,1137.0
119,Korba,42300.0
120,Koriya,11585.0
121,Mahasamund,25867.0
122,Mungeli,16579.0
123,Narayanpur,361.0
124,Raigarh,57381.0
125,Raipur,69212.0
126,Rajnandgaon,42844.0
127,Sukma,691.0
128,Surajpur,13878.0
129,Surguja,7458.0
130,Uttar Bastar Kanker,9123.0
131,Dadra and Nagar Haveli,12229.0
132,Daman,3857.0
133,Diu,817.0
134,North Goa,34085.0
135,South Goa,23273.0
136,Ahmadabad,95258.0
137,Amreli,58544.0
138,Anand,39763.0
139,Aravalli,17326.0
140,Banas Kantha,61846.0
141,Bharuch,79930.0
142,Bhavnagar,61045.0
143,Botad,15674.0
144,Chhota Udaipur,12984.0
145,Dahod,18335.0
146,Devbhumi Dwarka,40879.0
147,Gandhinagar,46567.0
148,Gir Somnath,26685.0
149,Jamnagar,71027.0
150,Junagadh,57802.0
151,Kachchh,135885.0
152,Kheda,41386.0
153,Mahesana,54773.0
154,Mahisagar,10254.0
155,Morbi,49689.0
156,Narmada,8582.0
157,Navsari,22686.0
158,Panch Mahals,21695.0
159,Patan,26805.0
160,Porbandar,20301.0
161,Rajkot,88260.0
162,Sabar Kantha,26602.0
163,Surat,86765.0
164,Surendranagar,55942.0
165,Tapi,17954.0
166,The Dangs,738.0
167,Vadodara,67252.0
168,Valsad,34871.0
169,Ambala,47637.0
170,Bhiwani,66015.0
171,Faridabad,47230.0
172,Fatehabad,49072.0
173,Gurgaon,59494.0
174,Hisar,77536.0
175,Jhajjar,46301.0
176,Jind,54652.0
177,Kaithal,51295.0
178,Karnal,69397.0
179,Kurukshetra,45464.0
180,Mahendragarh,37546.0
181,Mewat,23714.0
182,Palwal,21659.0
183,Panchkula,18997.0
184,Panipat,41566.0
185,Rewari,34922.0
186,Rohtak,36036.0
187,Sirsa,80155.0
188,Sonipat,57619.0
189,Yamunanagar,28262.0
190,Bilaspur,16212.0
191,Chamba,7658.0
192,Hamirpur,12979.0
193,Kangra,42651.0
194,Kinnaur,2682.0
195,Kinnaur,0.0
196,Kinnaur,0.0
197,Kullu,10318.0
198,Lahul & Spiti,67.0
199,Lahul & Spiti,0.0
200,Mandi,24136.0
201,Shimla,20156.0
202,Sirmaur,18796.0
203,Solan,36273.0
204,Una,21814.0
205,Anantnag,5404.0
206,Badgam,5882.0
207,Bandipore,1380.0
208,Baramulla,7491.0
209,Doda,2498.0
210,Ganderbal,2660.0
211,Jammu,52443.0
212,Kargil,1046.0
213,Kathua,25867.0
214,Kishtwar,1224.0
215,Kulgam,2031.0
216,Kupwara,1367.0
217,Leh (Ladakh),3333.0
218,Poonch,5425.0
219,Pulwama,5144.0
220,Rajouri,7971.0
221,Ramban,3362.0
222,Reasi,7124.0
223,Samba,19602.0
224,Shupiyan,1527.0
225,Srinagar,14127.0
226,Udhampur,13600.0
227,Bokaro,32257.0
228,Chatra,1897.0
229,Deoghar,7992.0
230,Dhanbad,43998.0
231,Dumka,3024.0
232,Garhwa,1414.0
233,Giridih,7729.0
234,Godda,4253.0
235,Gumla,1574.0
236,Hazaribagh,16319.0
237,Jamtara,4371.0
238,Khunti,918.0
239,Kodarma,4666.0
240,Latehar,2948.0
241,Lohardaga,3012.0
242,Pakur,3088.0
243,Palamu,5339.0
244,Pashchimi Singhbhum,15855.0
245,Purbi Singhbhum,23109.0
246,Ramgarh,21266.0
247,Ranchi,30052.0
248,Sahibganj,3641.0
249,Saraikela-kharsawan,20835.0
250,Simdega,968.0
251,Bagalkot,67086.0
252,Bangalore,113021.0
253,Bangalore Rural,50549.0
254,Belgaum,140265.0
255,Bellary,82238.0
256,Bidar,53089.0
257,Bijapur,67320.0
258,Chamrajnagar,29490.0
259,Chikballapura,46355.0
260,Chikmagalur,31852.0
261,Chitradurga,69425.0
262,Dakshina Kannada,42659.0
263,Davanagere,58874.0
264,Dharwad,40522.0
265,Gadag,26125.0
266,Gulbarga,93248.0
267,Hassan,57866.0
268,Haveri,40595.0
269,Kodagu,10822.0
270,Kolar,53352.0
271,Koppal,45349.0
272,Mandya,57194.0
273,Mysore,69074.0
274,Raichur,64829.0
275,Ramanagara,45172.0
276,Shimoga,35267.0
277,Tumkur,101810.0
278,Udupi,27953.0
279,Uttara Kannada,28507.0
280,Yadgir,38445.0
281,Alappuzha,21366.0
282,Ernakulam,49979.0
283,Idukki,23655.0
284,Kannur,24746.0
285,Kasaragod,15540.0
286,Kollam,33100.0
287,Kottayam,25042.0
288,Kozhikode,26195.0
289,Malappuram,33574.0
290,Palakkad,41839.0
291,Pathanamthitta,18590.0
292,Thiruvananthapuram,40841.0
293,Thrissur,39898.0
294,Wayanad,12426.0
295,Lakshadweep,184.0
296,Agar Malwa,2693.0
297,Alirajpur,2252.0
298,Anuppur,12975.0
299,Ashoknagar,6857.0
300,Balaghat,20315.0
301,Barwani,7825.0
302,Betul,14412.0
303,Bhind,9432.0
304,Bhopal,39928.0
305,Burhanpur,7082.0
306,Chhatarpur,16001.0
307,Chhindwara,30412.0
308,Damoh,18719.0
309,Datia,7029.0
310,Dewas,18438.0
311,Dhar,27390.0
312,Dindori,1364.0
313,East Nimar,13176.0
314,Guna,17013.0
315,Gwalior,29581.0
316,Harda,10345.0
317,Hoshangabad,31516.0
318,Indore,59875.0
319,Jabalpur,37249.0
320,Jhabua,4156.0
321,Katni,31971.0
322,Mandla,7976.0
323,Mandsaur,19429.0
324,Morena,12636.0
325,Narsimhapur,31597.0
326,Neemuch,18254.0
327,Panna,5698.0
328,Raisen,27916.0
329,Rajgarh,14305.0
330,Ratlam,14942.0
331,Rewa,27529.0
332,Sagar,43488.0
333,Satna,39282.0
334,Sehore,29050.0
335,Seoni,17940.0
336,Shahdol,12596.0
337,Shajapur,9453.0
338,Sheopur,4859.0
339,Shivpuri,12368.0
340,Sidhi,7064.0
341,Singrauli,32596.0
342,Tikamgarh,11427.0
343,Ujjain,25263.0
344,Umaria,4049.0
345,Vidisha,14009.0
346,West Nimar,14414.0
347,Ahmadnagar,170624.0
348,Akola,47238.0
349,Amravati,77687.0
350,Aurangabad,83046.0
351,Bhandara,30958.0
352,Bid,95450.0
353,Buldana,63353.0
354,Chandrapur,67692.0
355,Dhule,30277.0
356,Garhchiroli,16710.0
357,Gondiya,23385.0
358,Hingoli,30688.0
359,Jalgaon,84006.0
