,NAME_2,Sum_of_Lights_2001
0,Nicobar Islands,765.0
1,North and Middle Andaman,1608.0
2,South Andaman,3510.0
3,Anantapur,99844.0
4,Chittoor,102778.0
5,East Godavari,67534.0
6,Guntur,83099.0
7,Krishna,74780.0
8,Kurnool,80543.0
9,Nellore,76676.0
10,Prakasam,69858.0
11,Srikakulam,32955.0
12,Visakhapatnam,47652.0
13,Vizianagaram,25114.0
14,West Godavari,52337.0
15,Y.S.R.,67275.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,2406.0
19,Dibang Valley,0.0
20,East Kameng,0.0
21,East Siang,42.0
22,East Siang,72.0
23,Kurung Kumey,0.0
24,Lohit,314.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,65.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,206.0
30,Namsai,974.0
31,Papum Pare,2001.0
32,Tawang,106.0
33,Tirap,31.0
34,Upper Siang,23.0
35,Upper Subansiri,17.0
36,West Kameng,512.0
37,West Siang,134.0
38,Baksa,644.0
39,Barpeta,2773.0
40,Bongaigaon,2293.0
41,Cachar,7491.0
42,Chirang,3170.0
43,Darrang,2335.0
44,Dhemaji,320.0
45,Dhubri,1908.0
46,Dibrugarh,39578.0
47,Dima Hasao,2427.0
48,Goalpara,2776.0
49,Golaghat,16263.0
50,Hailakandi,2253.0
51,Jorhat,9028.0
52,Kamrup,10243.0
53,Kamrup Metropolitan,11754.0
54,Karbi Anglong,5097.0
55,Karimganj,3540.0
56,Kokrajhar,4113.0
57,Lakhimpur,1267.0
58,Morigaon,2291.0
59,Nagaon,11385.0
60,Nalbari,1627.0
61,Sivasagar,23407.0
62,Sonitpur,7504.0
63,Tinsukia,20244.0
64,Udalguri,2425.0
65,Araria,2597.0
66,Arwal,82.0
67,Aurangabad,2792.0
68,Banka,1326.0
69,Begusarai,8444.0
70,Bhagalpur,11378.0
71,Bhojpur,2628.0
72,Buxar,2508.0
73,Darbhanga,5250.0
74,Gaya,6478.0
75,Gopalganj,4519.0
76,Jamui,1440.0
77,Jehanabad,1241.0
78,Kaimur,4326.0
79,Katihar,3570.0
80,Khagaria,1803.0
81,Kishanganj,1858.0
82,Lakhisarai,1605.0
83,Madhepura,1491.0
84,Madhubani,4492.0
85,Munger,4141.0
86,Muzaffarpur,8264.0
87,Nalanda,4658.0
88,Nawada,1473.0
89,Pashchim Champaran,2935.0
90,Patna,20071.0
91,Purba Champaran,4799.0
92,Purnia,6821.0
93,Rohtas,7233.0
94,Saharsa,2140.0
95,Samastipur,5105.0
96,Saran,5120.0
97,Sheikhpura,880.0
98,Sheohar,305.0
99,Sitamarhi,2167.0
100,Siwan,2741.0
101,Supaul,2545.0
102,Vaishali,5741.0
103,Chandigarh,9317.0
104,Balod,6973.0
105,Baloda Bazar,8526.0
106,Balrampur,219.0
107,Bastar,2730.0
108,Bemetara,4384.0
109,Bijapur,407.0
110,Bilaspur,15803.0
111,Dantewada,3312.0
112,Dhamtari,6977.0
113,Durg,33478.0
114,Gariaband,468.0
115,Janjgir-Champa,8620.0
116,Jashpur,1510.0
