,NAME_2,Sum_of_Lights_2007
0,Nicobar Islands,589.0
1,North and Middle Andaman,2274.0
2,South Andaman,4853.0
3,Anantapur,126195.0
4,Chittoor,120034.0
5,East Godavari,85592.0
6,Guntur,112769.0
7,Krishna,95304.0
8,Kurnool,92796.0
9,Nellore,95496.0
10,Prakasam,97707.0
11,Srikakulam,38463.0
12,Visakhapatnam,62152.0
13,Vizianagaram,30704.0
14,West Godavari,70621.0
15,Y.S.R.,81695.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,3359.0
19,Dibang Valley,0.0
20,East Kameng,29.0
21,East Siang,142.0
22,East Siang,198.0
23,Kurung Kumey,0.0
24,Lohit,363.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,77.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,854.0
30,Namsai,911.0
31,Papum Pare,2946.0
32,Tawang,251.0
33,Tirap,237.0
34,Upper Siang,20.0
35,Upper Subansiri,156.0
36,West Kameng,1063.0
37,West Siang,216.0
38,Baksa,2474.0
39,Barpeta,3947.0
40,Bongaigaon,3595.0
41,Cachar,9544.0
42,Chirang,3708.0
43,Darrang,4521.0
44,Dhemaji,965.0
45,Dhubri,4023.0
46,Dibrugarh,35469.0
47,Dima Hasao,4021.0
48,Goalpara,5264.0
49,Golaghat,14953.0
50,Hailakandi,2840.0
51,Jorhat,9495.0
52,Kamrup,15701.0
53,Kamrup Metropolitan,15401.0
54,Karbi Anglong,6454.0
55,Karimganj,3388.0
56,Kokrajhar,6348.0
57,Lakhimpur,1862.0
58,Morigaon,4258.0
59,Nagaon,12833.0
60,Nalbari,3217.0
61,Sivasagar,20119.0
62,Sonitpur,12095.0
63,Tinsukia,25730.0
64,Udalguri,4851.0
65,Araria,4385.0
66,Arwal,84.0
67,Aurangabad,2648.0
68,Banka,2356.0
69,Begusarai,8554.0
70,Bhagalpur,12233.0
71,Bhojpur,3184.0
72,Buxar,2252.0
73,Darbhanga,5293.0
74,Gaya,7166.0
75,Gopalganj,4999.0
76,Jamui,817.0
77,Jehanabad,867.0
78,Kaimur,4772.0
79,Katihar,5401.0
80,Khagaria,1332.0
81,Kishanganj,2560.0
82,Lakhisarai,1249.0
83,Madhepura,3455.0
84,Madhubani,5812.0
85,Munger,4275.0
86,Muzaffarpur,9787.0
87,Nalanda,5847.0
88,Nawada,1137.0
89,Pashchim Champaran,3846.0
90,Patna,24392.0
91,Purba Champaran,4577.0
92,Purnia,9871.0
93,Rohtas,10423.0
94,Saharsa,1950.0
95,Samastipur,4138.0
96,Saran,5901.0
97,Sheikhpura,1121.0
98,Sheohar,142.0
99,Sitamarhi,1907.0
100,Siwan,2410.0
101,Supaul,5925.0
102,Vaishali,7504.0
103,Chandigarh,9207.0
104,Balod,11116.0
105,Baloda Bazar,20163.0
106,Balrampur,897.0
107,Bastar,4781.0
108,Bemetara,18014.0
109,Bijapur,564.0
110,Bilaspur,35635.0
111,Dantewada,4331.0
112,Dhamtari,12816.0
113,Durg,42784.0
114,Gariaband,2707.0
115,Janjgir-Champa,26127.0
116,Jashpur,2942.0
117,Kabeerdham,13429.0
118,Kondagaon,1050.0
119,Korba,28785.0
120,Koriya,10057.0
121,Mahasamund,13734.0
122,Mungeli,10834.0
123,Narayanpur,332.0
124,Raigarh,33353.0
125,Raipur,46975.0
126,Rajnandgaon,27070.0
127,Sukma,561.0
128,Surajpur,9658.0
129,Surguja,5891.0
130,Uttar Bastar Kanker,8117.0
131,Dadra and Nagar Haveli,9826.0
132,Daman,3640.0
133,Diu,695.0
134,North Goa,29479.0
135,South Goa,21127.0
136,Ahmadabad,80636.0
137,Amreli,47482.0
138,Anand,31409.0
139,Aravalli,20088.0
140,Banas Kantha,49293.0
141,Bharuch,61260.0
142,Bhavnagar,51709.0
143,Botad,13623.0
144,Chhota Udaipur,14608.0
145,Dahod,17544.0
146,Devbhumi Dwarka,34850.0
147,Gandhinagar,35493.0
148,Gir Somnath,25049.0
149,Jamnagar,64813.0
150,Junagadh,51683.0
151,Kachchh,114011.0
152,Kheda,35570.0
153,Mahesana,47256.0
154,Mahisagar,11366.0
155,Morbi,41985.0
156,Narmada,9034.0
157,Navsari,21031.0
158,Panch Mahals,17774.0
159,Patan,27016.0
160,Porbandar,21175.0
161,Rajkot,72144.0
162,Sabar Kantha,28959.0
163,Surat,75217.0
164,Surendranagar,54552.0
165,Tapi,17530.0
166,The Dangs,1930.0
167,Vadodara,54687.0
168,Valsad,30670.0
169,Ambala,41198.0
170,Bhiwani,55737.0
171,Faridabad,37960.0
172,Fatehabad,42354.0
173,Gurgaon,45916.0
174,Hisar,58810.0
175,Jhajjar,32169.0
176,Jind,42334.0
177,Kaithal,41136.0
178,Karnal,50989.0
179,Kurukshetra,41947.0
180,Mahendragarh,25447.0
181,Mewat,15768.0
182,Palwal,18379.0
183,Panchkula,15859.0
184,Panipat,34163.0
185,Rewari,24505.0
186,Rohtak,27337.0
187,Sirsa,54759.0
188,Sonipat,45182.0
189,Yamunanagar,25706.0
190,Bilaspur,15281.0
191,Chamba,8060.0
