,NAME_2,Sum_of_Lights_2020
0,Nicobar Islands,1813.0
1,North and Middle Andaman,7968.0
2,South Andaman,7739.0
3,Anantapur,195409.0
4,Chittoor,193414.0
5,East Godavari,139602.0
6,Guntur,165488.0
7,Krishna,135470.0
8,Kurnool,169503.0
9,Nellore,154140.0
10,Prakasam,181414.0
11,Srikakulam,72405.0
12,Visakhapatnam,126685.0
13,Vizianagaram,52842.0
14,West Godavari,101702.0
15,Y.S.R.,147041.0
16,Anjaw,2016.0
17,Anjaw,1778.0
18,Changlang,15889.0
19,Dibang Valley,1001.0
20,East Kameng,4280.0
21,East Siang,4550.0
22,East Siang,5370.0
23,Kurung Kumey,2149.0
24,Lohit,8500.0
25,Lohit,0.0
26,Longding,2294.0
27,Lower Dibang Valley,3374.0
28,Lower Dibang Valley,574.0
29,Lower Subansiri,8569.0
30,Namsai,5161.0
31,Papum Pare,17971.0
32,Tawang,4270.0
33,Tirap,5413.0
34,Upper Siang,2737.0
35,Upper Subansiri,2807.0
36,West Kameng,14108.0
37,West Siang,6819.0
38,Baksa,22745.0
39,Barpeta,22727.0
40,Bongaigaon,13269.0
41,Cachar,36503.0
42,Chirang,14671.0
43,Darrang,17800.0
44,Dhemaji,16984.0
45,Dhubri,32170.0
46,Dibrugarh,63358.0
47,Dima Hasao,17869.0
48,Goalpara,24818.0
49,Golaghat,48617.0
50,Hailakandi,12619.0
51,Jorhat,27520.0
52,Kamrup,45246.0
53,Kamrup Metropolitan,22411.0
54,Karbi Anglong,57824.0
55,Karimganj,20753.0
56,Kokrajhar,32613.0
57,Lakhimpur,25546.0
58,Morigaon,16328.0
59,Nagaon,48672.0
60,Nalbari,10610.0
61,Sivasagar,40538.0
62,Sonitpur,53900.0
63,Tinsukia,74611.0
64,Udalguri,22209.0
65,Araria,49570.0
66,Arwal,15535.0
67,Aurangabad,67680.0
68,Banka,50520.0
69,Begusarai,50877.0
70,Bhagalpur,61755.0
71,Bhojpur,54303.0
72,Buxar,34203.0
73,Darbhanga,49411.0
74,Gaya,108405.0
75,Gopalganj,49675.0
76,Jamui,47206.0
77,Jehanabad,31340.0
78,Kaimur,41480.0
79,Katihar,48898.0
80,Khagaria,24225.0
81,Kishanganj,27380.0
82,Lakhisarai,24802.0
83,Madhepura,38789.0
84,Madhubani,69348.0
85,Munger,26363.0
86,Muzaffarpur,86625.0
87,Nalanda,61340.0
88,Nawada,44801.0
89,Pashchim Champaran,70539.0
90,Patna,108989.0
91,Purba Champaran,84537.0
92,Purnia,62339.0
93,Rohtas,69632.0
94,Saharsa,35117.0
95,Samastipur,63587.0
96,Saran,75350.0
97,Sheikhpura,14855.0
98,Sheohar,14820.0
99,Sitamarhi,41138.0
100,Siwan,54298.0
101,Supaul,45450.0
102,Vaishali,59571.0
103,Chandigarh,9488.0
104,Balod,27508.0
105,Baloda Bazar,69952.0
106,Balrampur,52515.0
107,Bastar,45259.0
108,Bemetara,42149.0
109,Bijapur,29359.0
110,Bilaspur,104310.0
111,Dantewada,25084.0
112,Dhamtari,37580.0
113,Durg,67007.0
114,Gariaband,24540.0
115,Janjgir-Champa,72350.0
116,Jashpur,53051.0
117,Kabeerdham,49342.0
118,Kondagaon,33046.0
119,Korba,90183.0
120,Koriya,46309.0
121,Mahasamund,60747.0
122,Mungeli,41283.0
123,Narayanpur,12465.0
124,Raigarh,106622.0
125,Raipur,89937.0
126,Rajnandgaon,79758.0
127,Sukma,19113.0
128,Surajpur,50105.0
129,Surguja,42985.0
130,Uttar Bastar Kanker,49402.0
131,Dadra and Nagar Haveli,16380.0
132,Daman,3798.0
133,Diu,840.0
134,North Goa,40309.0
135,South Goa,29021.0
136,Ahmadabad,158310.0
137,Amreli,81734.0
138,Anand,55612.0
139,Aravalli,40403.0
140,Banas Kantha,125414.0
141,Bharuch,116079.0
142,Bhavnagar,84782.0
143,Botad,20432.0
144,Chhota Udaipur,40431.0
145,Dahod,49160.0
146,Devbhumi Dwarka,64158.0
147,Gandhinagar,63917.0
