,NAME_2,Sum_of_Lights_2010
0,Nicobar Islands,911.0
1,North and Middle Andaman,2286.0
2,South Andaman,5453.0
3,Anantapur,138549.0
4,Chittoor,133553.0
5,East Godavari,89297.0
6,Guntur,120356.0
7,Krishna,102525.0
8,Kurnool,101464.0
9,Nellore,103917.0
10,Prakasam,100932.0
11,Srikakulam,38726.0
12,Visakhapatnam,71347.0
13,Vizianagaram,30557.0
14,West Godavari,73149.0
15,Y.S.R.,98881.0
16,Anjaw,0.0
17,Anjaw,12.0
18,Changlang,4245.0
19,Dibang Valley,0.0
20,East Kameng,114.0
21,East Siang,242.0
22,East Siang,163.0
23,Kurung Kumey,0.0
24,Lohit,334.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,127.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,1063.0
30,Namsai,676.0
31,Papum Pare,4111.0
32,Tawang,239.0
33,Tirap,351.0
34,Upper Siang,0.0
35,Upper Subansiri,154.0
36,West Kameng,1361.0
37,West Siang,337.0
38,Baksa,2780.0
39,Barpeta,4865.0
40,Bongaigaon,4365.0
41,Cachar,8680.0
42,Chirang,4036.0
43,Darrang,5562.0
44,Dhemaji,1548.0
45,Dhubri,4592.0
46,Dibrugarh,37598.0
47,Dima Hasao,3946.0
48,Goalpara,10284.0
49,Golaghat,16223.0
50,Hailakandi,2663.0
51,Jorhat,10841.0
52,Kamrup,17253.0
53,Kamrup Metropolitan,16315.0
54,Karbi Anglong,9220.0
55,Karimganj,3429.0
56,Kokrajhar,8419.0
57,Lakhimpur,3360.0
58,Morigaon,4248.0
59,Nagaon,15026.0
60,Nalbari,3435.0
61,Sivasagar,18773.0
62,Sonitpur,15521.0
63,Tinsukia,30560.0
64,Udalguri,7321.0
65,Araria,5238.0
66,Arwal,221.0
67,Aurangabad,3778.0
68,Banka,1052.0
69,Begusarai,8987.0
70,Bhagalpur,12442.0
71,Bhojpur,3949.0
72,Buxar,4244.0
73,Darbhanga,6555.0
74,Gaya,10019.0
75,Gopalganj,9137.0
76,Jamui,1094.0
77,Jehanabad,2846.0
78,Kaimur,7996.0
79,Katihar,3624.0
80,Khagaria,1225.0
81,Kishanganj,3849.0
82,Lakhisarai,1672.0
83,Madhepura,2900.0
84,Madhubani,8518.0
85,Munger,3428.0
86,Muzaffarpur,15059.0
87,Nalanda,9086.0
88,Nawada,2583.0
89,Pashchim Champaran,4444.0
90,Patna,32565.0
91,Purba Champaran,6995.0
92,Purnia,8264.0
93,Rohtas,13149.0
94,Saharsa,2902.0
95,Samastipur,6391.0
96,Saran,10614.0
97,Sheikhpura,1131.0
98,Sheohar,440.0
99,Sitamarhi,3012.0
100,Siwan,6303.0
101,Supaul,5431.0
102,Vaishali,10492.0
103,Chandigarh,8865.0
104,Balod,11615.0
105,Baloda Bazar,26698.0
106,Balrampur,1118.0
107,Bastar,6200.0
108,Bemetara,22585.0
109,Bijapur,571.0
110,Bilaspur,40629.0
111,Dantewada,5033.0
112,Dhamtari,14174.0
113,Durg,47663.0
114,Gariaband,1557.0
115,Janjgir-Champa,33673.0
116,Jashpur,3032.0
117,Kabeerdham,16027.0
118,Kondagaon,1107.0
119,Korba,32618.0
120,Koriya,10021.0
121,Mahasamund,17644.0
122,Mungeli,12912.0
123,Narayanpur,298.0
124,Raigarh,41445.0
125,Raipur,55407.0
126,Rajnandgaon,27277.0
127,Sukma,635.0
128,Surajpur,8531.0
129,Surguja,5268.0
130,Uttar Bastar Kanker,5646.0
131,Dadra and Nagar Haveli,10695.0
132,Daman,3648.0
133,Diu,810.0
134,North Goa,30653.0
135,South Goa,21502.0
136,Ahmadabad,84717.0
137,Amreli,45337.0
138,Anand,33063.0
139,Aravalli,15975.0
140,Banas Kantha,57209.0
141,Bharuch,69121.0
142,Bhavnagar,49222.0
143,Botad,11767.0
144,Chhota Udaipur,14650.0
145,Dahod,14691.0
146,Devbhumi Dwarka,32141.0
147,Gandhinagar,37766.0
148,Gir Somnath,22482.0
149,Jamnagar,58515.0
150,Junagadh,45410.0
151,Kachchh,117608.0
152,Kheda,33181.0
153,Mahesana,48800.0
154,Mahisagar,9143.0
155,Morbi,39320.0
156,Narmada,9839.0
157,Navsari,19996.0
158,Panch Mahals,16754.0
159,Patan,30315.0
160,Porbandar,16596.0
161,Rajkot,68295.0
162,Sabar Kantha,24640.0
163,Surat,79254.0
164,Surendranagar,50648.0
165,Tapi,16214.0
166,The Dangs,911.0
167,Vadodara,57532.0
168,Valsad,30062.0
169,Ambala,40655.0
170,Bhiwani,56732.0
171,Faridabad,40584.0
172,Fatehabad,39925.0
173,Gurgaon,52421.0
174,Hisar,61981.0
175,Jhajjar,37474.0
176,Jind,44016.0
177,Kaithal,43310.0
178,Karnal,58124.0
179,Kurukshetra,37009.0
180,Mahendragarh,27998.0
181,Mewat,19184.0
182,Palwal,18863.0
183,Panchkula,16272.0
184,Panipat,37418.0
185,Rewari,27231.0
186,Rohtak,30362.0
187,Sirsa,63123.0
188,Sonipat,47155.0
189,Yamunanagar,24184.0
190,Bilaspur,13396.0
191,Chamba,6577.0
192,Hamirpur,10316.0
193,Kangra,32797.0
194,Kinnaur,3042.0
195,Kinnaur,0.0
196,Kinnaur,0.0
197,Kullu,8673.0
198,Lahul & Spiti,74.0
199,Lahul & Spiti,0.0
200,Mandi,19853.0
201,Shimla,17424.0
202,Sirmaur,15742.0
203,Solan,30271.0
204,Una,16843.0
205,Anantnag,1754.0
206,Badgam,4869.0
207,Bandipore,637.0
208,Baramulla,5445.0
209,Doda,2029.0
210,Ganderbal,1701.0
211,Jammu,42498.0
212,Kargil,1168.0
213,Kathua,18554.0
214,Kishtwar,1048.0
215,Kulgam,662.0
216,Kupwara,981.0
217,Leh (Ladakh),3036.0
218,Poonch,4175.0
219,Pulwama,3389.0
220,Rajouri,7661.0
221,Ramban,2258.0
222,Reasi,5145.0
223,Samba,15528.0
224,Shupiyan,721.0
225,Srinagar,11593.0
226,Udhampur,9105.0
227,Bokaro,30912.0
228,Chatra,1692.0
229,Deoghar,9425.0
230,Dhanbad,40313.0
231,Dumka,3579.0
232,Garhwa,1756.0
233,Giridih,6823.0
234,Godda,2962.0
235,Gumla,1199.0
236,Hazaribagh,15994.0
237,Jamtara,3441.0
238,Khunti,1260.0
239,Kodarma,4971.0
240,Latehar,2018.0
241,Lohardaga,1506.0
242,Pakur,2004.0
243,Palamu,4809.0
244,Pashchimi Singhbhum,16073.0
245,Purbi Singhbhum,20920.0
246,Ramgarh,20536.0
247,Ranchi,30025.0
248,Sahibganj,2430.0
249,Saraikela-kharsawan,17150.0
250,Simdega,801.0
251,Bagalkot,56691.0
252,Bangalore,103976.0
253,Bangalore Rural,44193.0
254,Belgaum,111376.0
255,Bellary,73519.0
256,Bidar,41359.0
257,Bijapur,54446.0
258,Chamrajnagar,26428.0
259,Chikballapura,40658.0
260,Chikmagalur,22692.0
261,Chitradurga,57100.0
262,Dakshina Kannada,33614.0
263,Davanagere,47844.0
264,Dharwad,35046.0
265,Gadag,24908.0
266,Gulbarga,73419.0
267,Hassan,48849.0
268,Haveri,33692.0
269,Kodagu,9011.0
270,Kolar,50376.0
271,Koppal,36008.0
272,Mandya,50306.0
273,Mysore,62192.0
274,Raichur,53916.0
275,Ramanagara,40313.0
276,Shimoga,22672.0
277,Tumkur,86048.0
278,Udupi,20947.0
279,Uttara Kannada,20787.0
280,Yadgir,29091.0
281,Alappuzha,20647.0
282,Ernakulam,48669.0
283,Idukki,20103.0
284,Kannur,21871.0
285,Kasaragod,13379.0
286,Kollam,31428.0
287,Kottayam,23123.0
288,Kozhikode,22833.0
289,Malappuram,28950.0
290,Palakkad,37893.0
291,Pathanamthitta,17814.0
292,Thiruvananthapuram,36917.0
293,Thrissur,37301.0
294,Wayanad,10297.0
295,Lakshadweep,142.0
296,Agar Malwa,2008.0
297,Alirajpur,2035.0
298,Anuppur,8193.0
299,Ashoknagar,5218.0
300,Balaghat,10491.0
301,Barwani,9224.0
302,Betul,10410.0
303,Bhind,12687.0
304,Bhopal,31890.0
305,Burhanpur,5132.0
306,Chhatarpur,15933.0
307,Chhindwara,15863.0
308,Damoh,10599.0
309,Datia,7860.0
310,Dewas,17588.0
311,Dhar,33678.0
312,Dindori,461.0
313,East Nimar,10198.0
314,Guna,12961.0
315,Gwalior,24054.0
316,Harda,7919.0
317,Hoshangabad,20578.0
318,Indore,53391.0
319,Jabalpur,30086.0
320,Jhabua,3598.0
321,Katni,24422.0
322,Mandla,6061.0
323,Mandsaur,18719.0
324,Morena,9950.0
325,Narsimhapur,19252.0
326,Neemuch,14298.0
327,Panna,4022.0
328,Raisen,12991.0
329,Rajgarh,8897.0
330,Ratlam,13617.0
331,Rewa,22413.0
332,Sagar,31892.0
333,Satna,28481.0
334,Sehore,27751.0
335,Seoni,10168.0
336,Shahdol,10799.0
337,Shajapur,14616.0
338,Sheopur,4458.0
339,Shivpuri,9934.0
340,Sidhi,5451.0
341,Singrauli,23143.0
342,Tikamgarh,13081.0
343,Ujjain,19996.0
344,Umaria,3777.0
345,Vidisha,7242.0
346,West Nimar,14600.0
347,Ahmadnagar,116881.0
348,Akola,33029.0
349,Amravati,53872.0
350,Aurangabad,62533.0
351,Bhandara,20074.0
352,Bid,67755.0
353,Buldana,42822.0
354,Chandrapur,56326.0
355,Dhule,28397.0
356,Garhchiroli,11149.0
357,Gondiya,13686.0
358,Hingoli,21484.0
359,Jalgaon,67720.0
360,Jalna,39805.0
361,Kolhapur,69719.0
362,Latur,43070.0
363,Mumbai City,4841.0
364,Mumbai Suburban,27947.0
365,Nagpur,84778.0
366,Nanded,52008.0
367,Nandurbar,22311.0
368,Nashik,107309.0
369,Osmanabad,41416.0
370,Palghar,47023.0
371,Parbhani,35585.0
372,Pune,218592.0
373,Raigarh,76225.0
374,Ratnagiri,34183.0
375,Sangli,59195.0
376,Satara,74882.0
377,Sindhudurg,17684.0
378,Solapur,123987.0
379,Thane,72852.0
380,Wardha,27501.0
381,Washim,21376.0
382,Yavatmal,61775.0
383,Bishnupur,1510.0
384,Chandel,518.0
385,Churachandpur,1407.0
386,Imphal East,2778.0
387,Imphal West,4507.0
388,Senapati,1837.0
389,Tamenglong,315.0
390,Thoubal,2026.0
391,Ukhrul,169.0
392,East Garo Hills,2350.0
393,East Khasi Hills,11198.0
394,Jaintia Hills,8477.0
395,North Garo Hills,1498.0
396,Ri Bhoi,7340.0
397,South Garo Hills,1031.0
398,South West Garo Hills,475.0
399,South West Khasi Hills,310.0
400,West Garo Hills,2992.0
401,West Khasi Hills,2061.0
402,Aizawl,4317.0
403,Champhai,467.0
404,Kolasib,1028.0
405,Lawangtlai,149.0
406,Lunglei,605.0
407,Mamit,380.0
408,Saiha,174.0
409,Serchhip,675.0
410,Dimapur,8207.0
411,Kiphire,304.0
412,Kohima,2983.0
413,Longleng,151.0
414,Mokokchung,1720.0
415,Mon,522.0
416,Peren,913.0
417,Phek,320.0
418,Tuensang,404.0
419,Wokha,619.0
420,Zunheboto,590.0
421,West,105997.0
422,Anugul,33148.0
423,Balangir,8423.0
424,Baleshwar,17425.0
425,Bargarh,11031.0
426,Bauda,501.0
427,Bhadrak,8349.0
428,Cuttack,33264.0
429,Debagarh,1645.0
430,Dhenkanal,15971.0
431,Gajapati,2430.0
432,Ganjam,23561.0
433,Jagatsinghapur,14345.0
434,Jajapur,27783.0
435,Jharsuguda,20641.0
436,Kalahandi,8805.0
437,Kandhamal,1303.0
438,Kendrapara,10199.0
439,Kendujhar,25706.0
440,Khordha,24990.0
441,Koraput,10170.0
442,Malkangiri,2379.0
443,Mayurbhanj,9286.0
444,Nabarangapur,2006.0
445,Nayagarh,5287.0
446,Nuapada,1994.0
447,Puri,13165.0
448,Rayagada,6182.0
449,Sambalpur,18346.0
450,Subarnapur,1768.0
451,Sundargarh,35694.0
452,Karaikal,5890.0
453,Mahe,1111.0
454,Puducherry,8191.0
455,Yanam,898.0
456,Amritsar,67860.0
457,Barnala,25785.0
458,Bathinda,69956.0
459,Faridkot,26624.0
460,Fatehgarh Sahib,24406.0
461,Fazilka,43998.0
462,Firozpur,44641.0
463,Gurdaspur,47103.0
464,Hoshiarpur,46078.0
465,Jalandhar,61861.0
466,Kapurthala,31329.0
467,Ludhiana,91101.0
468,Mansa,33615.0
469,Moga,41852.0
470,Muktsar,45910.0
471,Pathankot,18065.0
472,Patiala,67292.0
473,Rupnagar,24466.0
