,NAME_2,Sum_of_Lights_2011
0,Nicobar Islands,586.0
1,North and Middle Andaman,2135.0
2,South Andaman,4918.0
3,Anantapur,134939.0
4,Chittoor,132491.0
5,East Godavari,91892.0
6,Guntur,120088.0
7,Krishna,104014.0
8,Kurnool,102541.0
9,Nellore,100148.0
10,Prakasam,95976.0
11,Srikakulam,41114.0
12,Visakhapatnam,72438.0
13,Vizianagaram,32816.0
14,West Godavari,77441.0
15,Y.S.R.,93157.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,4938.0
19,Dibang Valley,12.0
20,East Kameng,122.0
21,East Siang,343.0
22,East Siang,84.0
23,Kurung Kumey,0.0
24,Lohit,555.0
25,Lohit,0.0
26,Longding,16.0
27,Lower Dibang Valley,115.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,878.0
30,Namsai,536.0
31,Papum Pare,4580.0
32,Tawang,196.0
33,Tirap,451.0
34,Upper Siang,0.0
35,Upper Subansiri,168.0
36,West Kameng,1137.0
37,West Siang,284.0
38,Baksa,2755.0
39,Barpeta,5267.0
40,Bongaigaon,4991.0
41,Cachar,9827.0
42,Chirang,4529.0
43,Darrang,5936.0
44,Dhemaji,1667.0
45,Dhubri,3793.0
46,Dibrugarh,38401.0
47,Dima Hasao,2934.0
48,Goalpara,7831.0
49,Golaghat,18933.0
50,Hailakandi,2788.0
51,Jorhat,11930.0
52,Kamrup,18236.0
53,Kamrup Metropolitan,17962.0
54,Karbi Anglong,8325.0
55,Karimganj,3624.0
56,Kokrajhar,8349.0
57,Lakhimpur,3947.0
58,Morigaon,3950.0
59,Nagaon,14862.0
60,Nalbari,3976.0
61,Sivasagar,20599.0
62,Sonitpur,15095.0
63,Tinsukia,35238.0
64,Udalguri,6846.0
65,Araria,5396.0
66,Arwal,285.0
67,Aurangabad,4456.0
68,Banka,1148.0
69,Begusarai,8972.0
70,Bhagalpur,13347.0
71,Bhojpur,3239.0
72,Buxar,3033.0
73,Darbhanga,5525.0
74,Gaya,9691.0
75,Gopalganj,5567.0
76,Jamui,839.0
77,Jehanabad,1497.0
78,Kaimur,5050.0
79,Katihar,4493.0
80,Khagaria,1161.0
81,Kishanganj,3833.0
82,Lakhisarai,1472.0
83,Madhepura,2626.0
84,Madhubani,5607.0
85,Munger,3000.0
86,Muzaffarpur,12834.0
87,Nalanda,8079.0
88,Nawada,1708.0
89,Pashchim Champaran,4799.0
90,Patna,31841.0
91,Purba Champaran,5512.0
92,Purnia,9681.0
93,Rohtas,9569.0
94,Saharsa,3179.0
95,Samastipur,5811.0
96,Saran,7517.0
97,Sheikhpura,1094.0
98,Sheohar,312.0
99,Sitamarhi,2260.0
100,Siwan,3445.0
101,Supaul,5403.0
102,Vaishali,9469.0
103,Chandigarh,9364.0
104,Balod,12819.0
105,Baloda Bazar,31371.0
106,Balrampur,1545.0
107,Bastar,8186.0
108,Bemetara,25659.0
109,Bijapur,607.0
110,Bilaspur,47557.0
111,Dantewada,5472.0
112,Dhamtari,15801.0
113,Durg,50987.0
114,Gariaband,2059.0
115,Janjgir-Champa,43652.0
116,Jashpur,3959.0
117,Kabeerdham,18332.0
118,Kondagaon,1236.0
119,Korba,37540.0
120,Koriya,11654.0
121,Mahasamund,22020.0
122,Mungeli,15452.0
123,Narayanpur,363.0
124,Raigarh,48232.0
125,Raipur,62174.0
126,Rajnandgaon,33773.0
127,Sukma,553.0
128,Surajpur,11816.0
129,Surguja,7036.0
130,Uttar Bastar Kanker,7297.0
131,Dadra and Nagar Haveli,12354.0
132,Daman,3722.0
133,Diu,773.0
134,North Goa,32765.0
135,South Goa,23881.0
136,Ahmadabad,94593.0
137,Amreli,51960.0
138,Anand,35605.0
139,Aravalli,19332.0
140,Banas Kantha,63178.0
141,Bharuch,71284.0
142,Bhavnagar,55726.0
143,Botad,13800.0
144,Chhota Udaipur,15469.0
145,Dahod,20870.0
146,Devbhumi Dwarka,36173.0
147,Gandhinagar,40394.0
148,Gir Somnath,25232.0
149,Jamnagar,64403.0
150,Junagadh,52557.0
151,Kachchh,118163.0
152,Kheda,39654.0
153,Mahesana,51567.0
154,Mahisagar,11639.0
155,Morbi,43206.0
156,Narmada,11905.0
157,Navsari,21742.0
158,Panch Mahals,21675.0
159,Patan,31444.0
160,Porbandar,18159.0
161,Rajkot,78011.0
162,Sabar Kantha,27481.0
163,Surat,81423.0
164,Surendranagar,55703.0
165,Tapi,19476.0
166,The Dangs,1466.0
167,Vadodara,63267.0
168,Valsad,33255.0
169,Ambala,40850.0
170,Bhiwani,57231.0
171,Faridabad,42978.0
172,Fatehabad,42046.0
173,Gurgaon,53343.0
174,Hisar,67038.0
175,Jhajjar,38396.0
176,Jind,48347.0
177,Kaithal,44769.0
178,Karnal,57693.0
179,Kurukshetra,39261.0
180,Mahendragarh,30677.0
181,Mewat,20072.0
182,Palwal,18997.0
183,Panchkula,17175.0
184,Panipat,38651.0
185,Rewari,28517.0
186,Rohtak,31663.0
187,Sirsa,68761.0
188,Sonipat,49940.0
189,Yamunanagar,24159.0
190,Bilaspur,14037.0
191,Chamba,7288.0
192,Hamirpur,11304.0
193,Kangra,36232.0
194,Kinnaur,3158.0
195,Kinnaur,0.0
196,Kinnaur,0.0
197,Kullu,9447.0
198,Lahul & Spiti,96.0
199,Lahul & Spiti,0.0
200,Mandi,21586.0
201,Shimla,20028.0
202,Sirmaur,14940.0
203,Solan,32381.0
204,Una,17205.0
205,Anantnag,2848.0
206,Badgam,4563.0
207,Bandipore,1094.0
208,Baramulla,4811.0
209,Doda,2333.0
210,Ganderbal,1819.0
211,Jammu,42266.0
212,Kargil,1327.0
213,Kathua,19497.0
214,Kishtwar,1102.0
215,Kulgam,746.0
216,Kupwara,995.0
217,Leh (Ladakh),3032.0
218,Poonch,3551.0
219,Pulwama,3703.0
220,Rajouri,6422.0
221,Ramban,2318.0
222,Reasi,4603.0
223,Samba,17043.0
224,Shupiyan,684.0
225,Srinagar,11458.0
226,Udhampur,11011.0
227,Bokaro,32569.0
228,Chatra,1691.0
229,Deoghar,10294.0
230,Dhanbad,40702.0
231,Dumka,3578.0
232,Garhwa,1534.0
233,Giridih,7899.0
234,Godda,4025.0
235,Gumla,1362.0
236,Hazaribagh,15626.0
237,Jamtara,3973.0
238,Khunti,1127.0
239,Kodarma,4526.0
240,Latehar,2600.0
241,Lohardaga,1789.0
242,Pakur,2327.0
243,Palamu,5473.0
244,Pashchimi Singhbhum,14010.0
245,Purbi Singhbhum,24861.0
246,Ramgarh,20295.0
247,Ranchi,29252.0
248,Sahibganj,2724.0
249,Saraikela-kharsawan,18950.0
250,Simdega,611.0
251,Bagalkot,65170.0
252,Bangalore,107282.0
253,Bangalore Rural,45819.0
254,Belgaum,132375.0
255,Bellary,76269.0
256,Bidar,46012.0
257,Bijapur,63493.0
258,Chamrajnagar,28435.0
259,Chikballapura,41862.0
260,Chikmagalur,26300.0
261,Chitradurga,57527.0
262,Dakshina Kannada,40357.0
263,Davanagere,50581.0
264,Dharwad,36989.0
265,Gadag,23838.0
266,Gulbarga,86365.0
267,Hassan,51939.0
268,Haveri,36211.0
269,Kodagu,9749.0
270,Kolar,49185.0
271,Koppal,38305.0
272,Mandya,54408.0
273,Mysore,66740.0
274,Raichur,55779.0
275,Ramanagara,41879.0
276,Shimoga,30021.0
277,Tumkur,88793.0
278,Udupi,24990.0
279,Uttara Kannada,24759.0
280,Yadgir,33803.0
281,Alappuzha,19001.0
282,Ernakulam,47803.0
283,Idukki,18620.0
284,Kannur,23650.0
285,Kasaragod,15002.0
286,Kollam,28947.0
287,Kottayam,23184.0
288,Kozhikode,23722.0
289,Malappuram,28755.0
290,Palakkad,36482.0
291,Pathanamthitta,16897.0
292,Thiruvananthapuram,36454.0
293,Thrissur,36113.0
294,Wayanad,10590.0
295,Lakshadweep,181.0
296,Agar Malwa,2671.0
297,Alirajpur,2467.0
298,Anuppur,10985.0
299,Ashoknagar,5512.0
300,Balaghat,15428.0
301,Barwani,11269.0
302,Betul,14520.0
303,Bhind,9479.0
304,Bhopal,35463.0
305,Burhanpur,6221.0
306,Chhatarpur,16335.0
307,Chhindwara,27191.0
308,Damoh,12916.0
309,Datia,5985.0
310,Dewas,21352.0
311,Dhar,34061.0
312,Dindori,783.0
313,East Nimar,14811.0
314,Guna,13748.0
315,Gwalior,24912.0
316,Harda,13283.0
317,Hoshangabad,27109.0
318,Indore,58155.0
319,Jabalpur,34802.0
320,Jhabua,6118.0
321,Katni,29735.0
322,Mandla,8074.0
323,Mandsaur,22651.0
324,Morena,10525.0
325,Narsimhapur,24401.0
326,Neemuch,15076.0
327,Panna,3898.0
328,Raisen,20528.0
329,Rajgarh,9284.0
330,Ratlam,11298.0
