,NAME_2,Sum_of_Lights_2009
0,Nicobar Islands,602.0
1,North and Middle Andaman,1554.0
2,South Andaman,5350.0
3,Anantapur,139519.0
4,Chittoor,131823.0
5,East Godavari,98004.0
6,Guntur,121550.0
7,Krishna,106328.0
8,Kurnool,99544.0
9,Nellore,105007.0
10,Prakasam,99161.0
11,Srikakulam,44292.0
12,Visakhapatnam,82142.0
13,Vizianagaram,38819.0
14,West Godavari,80494.0
15,Y.S.R.,94522.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,3315.0
19,Dibang Valley,0.0
20,East Kameng,63.0
21,East Siang,208.0
22,East Siang,90.0
23,Kurung Kumey,0.0
24,Lohit,359.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,152.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,807.0
30,Namsai,458.0
31,Papum Pare,3711.0
32,Tawang,221.0
33,Tirap,304.0
34,Upper Siang,0.0
35,Upper Subansiri,101.0
36,West Kameng,863.0
37,West Siang,265.0
38,Baksa,1971.0
39,Barpeta,4380.0
40,Bongaigaon,4345.0
41,Cachar,8078.0
42,Chirang,3992.0
43,Darrang,4500.0
44,Dhemaji,1052.0
45,Dhubri,2855.0
46,Dibrugarh,39888.0
47,Dima Hasao,3981.0
48,Goalpara,8379.0
49,Golaghat,13713.0
50,Hailakandi,2351.0
51,Jorhat,9208.0
52,Kamrup,16978.0
53,Kamrup Metropolitan,16382.0
54,Karbi Anglong,6620.0
55,Karimganj,3064.0
56,Kokrajhar,6160.0
57,Lakhimpur,2327.0
58,Morigaon,3786.0
59,Nagaon,13722.0
60,Nalbari,3362.0
61,Sivasagar,18774.0
62,Sonitpur,12878.0
63,Tinsukia,35057.0
64,Udalguri,4646.0
65,Araria,5984.0
66,Arwal,190.0
67,Aurangabad,2960.0
68,Banka,1597.0
69,Begusarai,8487.0
70,Bhagalpur,13804.0
71,Bhojpur,3209.0
72,Buxar,2580.0
73,Darbhanga,4717.0
74,Gaya,8755.0
75,Gopalganj,4916.0
76,Jamui,892.0
77,Jehanabad,2371.0
78,Kaimur,3729.0
79,Katihar,4040.0
80,Khagaria,1442.0
81,Kishanganj,3904.0
82,Lakhisarai,1777.0
83,Madhepura,2009.0
84,Madhubani,3917.0
85,Munger,3994.0
86,Muzaffarpur,10830.0
87,Nalanda,8489.0
88,Nawada,1210.0
89,Pashchim Champaran,3367.0
90,Patna,29844.0
91,Purba Champaran,2955.0
92,Purnia,7164.0
93,Rohtas,9497.0
94,Saharsa,1845.0
95,Samastipur,4394.0
96,Saran,6521.0
97,Sheikhpura,1035.0
98,Sheohar,116.0
99,Sitamarhi,1702.0
100,Siwan,2035.0
101,Supaul,5364.0
102,Vaishali,7794.0
103,Chandigarh,8863.0
104,Balod,13307.0
105,Baloda Bazar,27214.0
106,Balrampur,818.0
107,Bastar,7163.0
108,Bemetara,24495.0
109,Bijapur,442.0
110,Bilaspur,41132.0
111,Dantewada,4587.0
112,Dhamtari,17179.0
113,Durg,48775.0
114,Gariaband,2308.0
115,Janjgir-Champa,34774.0
116,Jashpur,3204.0
117,Kabeerdham,18316.0
118,Kondagaon,1315.0
119,Korba,31297.0
120,Koriya,9738.0
121,Mahasamund,18950.0
122,Mungeli,14639.0
123,Narayanpur,328.0
124,Raigarh,40454.0
125,Raipur,56326.0
126,Rajnandgaon,30968.0
127,Sukma,697.0
128,Surajpur,7815.0
129,Surguja,5540.0
130,Uttar Bastar Kanker,6262.0
131,Dadra and Nagar Haveli,10638.0
132,Daman,3570.0
133,Diu,802.0
134,North Goa,31044.0
135,South Goa,22653.0
136,Ahmadabad,86077.0
137,Amreli,53076.0
138,Anand,35656.0
139,Aravalli,21856.0
140,Banas Kantha,62549.0
141,Bharuch,73227.0
142,Bhavnagar,56538.0
143,Botad,14516.0
144,Chhota Udaipur,13490.0
145,Dahod,13564.0
146,Devbhumi Dwarka,35418.0
147,Gandhinagar,38000.0
148,Gir Somnath,25047.0
149,Jamnagar,62748.0
150,Junagadh,55229.0
151,Kachchh,112369.0
152,Kheda,37928.0
153,Mahesana,56753.0
154,Mahisagar,10387.0
155,Morbi,43183.0
156,Narmada,8665.0
157,Navsari,21034.0
158,Panch Mahals,18201.0
159,Patan,28099.0
160,Porbandar,20234.0
161,Rajkot,77086.0
162,Sabar Kantha,30528.0
163,Surat,79876.0
164,Surendranagar,52072.0
165,Tapi,16972.0
166,The Dangs,745.0
167,Vadodara,59067.0
168,Valsad,29996.0
169,Ambala,49020.0
170,Bhiwani,66568.0
171,Faridabad,43249.0
172,Fatehabad,49323.0
173,Gurgaon,52617.0
174,Hisar,71753.0
175,Jhajjar,40444.0
176,Jind,56105.0
177,Kaithal,52584.0
178,Karnal,67386.0
179,Kurukshetra,48531.0
180,Mahendragarh,32012.0
181,Mewat,20112.0
182,Palwal,21326.0
183,Panchkula,17549.0
184,Panipat,41949.0
185,Rewari,29096.0
186,Rohtak,35088.0
187,Sirsa,76007.0
188,Sonipat,55777.0
189,Yamunanagar,28440.0
190,Bilaspur,14700.0
191,Chamba,5949.0
192,Hamirpur,12011.0
193,Kangra,36462.0
194,Kinnaur,1786.0
195,Kinnaur,0.0
196,Kinnaur,0.0
197,Kullu,6661.0
198,Lahul & Spiti,0.0
199,Lahul & Spiti,0.0
200,Mandi,20836.0
201,Shimla,14667.0
202,Sirmaur,13968.0
203,Solan,32944.0
204,Una,17416.0
205,Anantnag,1353.0
206,Badgam,3771.0
207,Bandipore,88.0
208,Baramulla,3479.0
209,Doda,1942.0
210,Ganderbal,1183.0
211,Jammu,43679.0
212,Kargil,1502.0
213,Kathua,18015.0
214,Kishtwar,857.0
215,Kulgam,603.0
216,Kupwara,202.0
217,Leh (Ladakh),2682.0
218,Poonch,1750.0
219,Pulwama,2931.0
220,Rajouri,5853.0
221,Ramban,1501.0
222,Reasi,5195.0
223,Samba,15473.0
224,Shupiyan,491.0
225,Srinagar,9449.0
226,Udhampur,8592.0
227,Bokaro,27263.0
228,Chatra,1768.0
229,Deoghar,8359.0
230,Dhanbad,38446.0
231,Dumka,2723.0
232,Garhwa,1625.0
233,Giridih,6906.0
234,Godda,3316.0
235,Gumla,1140.0
236,Hazaribagh,14504.0
237,Jamtara,4019.0
238,Khunti,1263.0
239,Kodarma,4716.0
240,Latehar,860.0
241,Lohardaga,1506.0
242,Pakur,2320.0
243,Palamu,4570.0
244,Pashchimi Singhbhum,12018.0
245,Purbi Singhbhum,23033.0
246,Ramgarh,19673.0
247,Ranchi,28486.0
248,Sahibganj,2121.0
249,Saraikela-kharsawan,15247.0
250,Simdega,900.0
251,Bagalkot,60624.0
252,Bangalore,95233.0
253,Bangalore Rural,40778.0
254,Belgaum,124814.0
255,Bellary,73450.0
256,Bidar,44112.0
257,Bijapur,53684.0
258,Chamrajnagar,27361.0
259,Chikballapura,40392.0
260,Chikmagalur,15326.0
261,Chitradurga,59058.0
262,Dakshina Kannada,32400.0
263,Davanagere,53057.0
264,Dharwad,38959.0
265,Gadag,25622.0
266,Gulbarga,67193.0
267,Hassan,55522.0
268,Haveri,39571.0
269,Kodagu,4804.0
270,Kolar,50010.0
271,Koppal,37069.0
272,Mandya,56488.0
273,Mysore,65240.0
274,Raichur,56807.0
275,Ramanagara,41024.0
276,Shimoga,25264.0
277,Tumkur,86635.0
278,Udupi,21611.0
279,Uttara Kannada,27960.0
280,Yadgir,25588.0
281,Alappuzha,19959.0
282,Ernakulam,47097.0
283,Idukki,20228.0
284,Kannur,21811.0
285,Kasaragod,12400.0
286,Kollam,31981.0
287,Kottayam,22947.0
288,Kozhikode,23221.0
289,Malappuram,29430.0
290,Palakkad,38809.0
291,Pathanamthitta,18254.0
292,Thiruvananthapuram,36539.0
293,Thrissur,37658.0
294,Wayanad,11147.0
295,Lakshadweep,161.0
296,Agar Malwa,2414.0
297,Alirajpur,2319.0
298,Anuppur,8861.0
299,Ashoknagar,3775.0
300,Balaghat,10166.0
301,Barwani,9530.0
302,Betul,8225.0
303,Bhind,8014.0
304,Bhopal,28965.0
305,Burhanpur,6173.0
306,Chhatarpur,12334.0
307,Chhindwara,13817.0
308,Damoh,9783.0
309,Datia,6432.0
310,Dewas,15288.0
311,Dhar,22230.0
312,Dindori,540.0
313,East Nimar,8261.0
314,Guna,12745.0
315,Gwalior,25007.0
316,Harda,4257.0
317,Hoshangabad,14853.0
318,Indore,48016.0
319,Jabalpur,27629.0
320,Jhabua,3491.0
321,Katni,19725.0
322,Mandla,7403.0
323,Mandsaur,12301.0
324,Morena,9098.0
325,Narsimhapur,21206.0
326,Neemuch,11556.0
327,Panna,2828.0
328,Raisen,12361.0
329,Rajgarh,6657.0
330,Ratlam,16089.0
331,Rewa,13402.0
332,Sagar,28375.0
333,Satna,19063.0
334,Sehore,16643.0
335,Seoni,7485.0
336,Shahdol,10851.0
337,Shajapur,7269.0
338,Sheopur,4266.0
339,Shivpuri,9070.0
340,Sidhi,3575.0
341,Singrauli,15768.0
342,Tikamgarh,9456.0
343,Ujjain,26326.0
344,Umaria,3310.0
345,Vidisha,4815.0
346,West Nimar,16545.0
347,Ahmadnagar,122477.0
348,Akola,32366.0
349,Amravati,49439.0
350,Aurangabad,68329.0
351,Bhandara,23027.0
352,Bid,68915.0
353,Buldana,44376.0
354,Chandrapur,52205.0
355,Dhule,31852.0
356,Garhchiroli,12998.0
357,Gondiya,15681.0
358,Hingoli,19675.0
359,Jalgaon,81256.0
360,Jalna,40607.0
361,Kolhapur,81932.0
362,Latur,50718.0
363,Mumbai City,4874.0
364,Mumbai Suburban,27685.0
365,Nagpur,81446.0
366,Nanded,49794.0
367,Nandurbar,23923.0
368,Nashik,107596.0
369,Osmanabad,42831.0
370,Palghar,46365.0
371,Parbhani,37979.0
372,Pune,222247.0
373,Raigarh,79536.0
374,Ratnagiri,33457.0
375,Sangli,61659.0
376,Satara,76827.0
377,Sindhudurg,18562.0
378,Solapur,125920.0
379,Thane,72773.0
380,Wardha,25721.0
381,Washim,20660.0
382,Yavatmal,54549.0
383,Bishnupur,1605.0
384,Chandel,211.0
385,Churachandpur,1316.0
386,Imphal East,3044.0
387,Imphal West,4636.0
388,Senapati,1571.0
389,Tamenglong,177.0
390,Thoubal,1721.0
391,Ukhrul,165.0
392,East Garo Hills,1983.0
393,East Khasi Hills,10519.0
394,Jaintia Hills,6724.0
395,North Garo Hills,1190.0
396,Ri Bhoi,5606.0
397,South Garo Hills,883.0
398,South West Garo Hills,261.0
399,South West Khasi Hills,399.0
400,West Garo Hills,2632.0
401,West Khasi Hills,1221.0
402,Aizawl,4379.0
403,Champhai,353.0
404,Kolasib,934.0
405,Lawangtlai,136.0
406,Lunglei,523.0
407,Mamit,391.0
408,Saiha,291.0
409,Serchhip,960.0
410,Dimapur,6950.0
411,Kiphire,119.0
