,NAME_2,Sum_of_Lights_1992
0,Nicobar Islands,220.0
1,North and Middle Andaman,446.0
2,South Andaman,1637.0
3,Anantapur,27229.0
4,Chittoor,47807.0
5,East Godavari,37648.0
6,Guntur,44604.0
7,Krishna,44539.0
8,Kurnool,18033.0
9,Nellore,34900.0
10,Prakasam,23858.0
11,Srikakulam,19621.0
12,Visakhapatnam,29763.0
13,Vizianagaram,16790.0
14,West Godavari,27475.0
15,Y.S.R.,20044.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,3161.0
19,Dibang Valley,0.0
20,East Kameng,0.0
21,East Siang,0.0
22,East Siang,0.0
23,Kurung Kumey,0.0
24,Lohit,134.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,0.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,36.0
30,Namsai,760.0
31,Papum Pare,608.0
32,Tawang,0.0
33,Tirap,48.0
34,Upper Siang,0.0
35,Upper Subansiri,0.0
36,West Kameng,202.0
37,West Siang,28.0
38,Baksa,978.0
39,Barpeta,2800.0
40,Bongaigaon,1390.0
41,Cachar,6027.0
42,Chirang,2299.0
43,Darrang,2202.0
44,Dhemaji,96.0
45,Dhubri,1546.0
46,Dibrugarh,25222.0
47,Dima Hasao,835.0
48,Goalpara,1305.0
49,Golaghat,3093.0
50,Hailakandi,2224.0
51,Jorhat,4839.0
52,Kamrup,8477.0
53,Kamrup Metropolitan,8411.0
54,Karbi Anglong,2567.0
55,Karimganj,2627.0
56,Kokrajhar,2264.0
57,Lakhimpur,584.0
58,Morigaon,2121.0
59,Nagaon,7121.0
60,Nalbari,2868.0
61,Sivasagar,26299.0
62,Sonitpur,3996.0
63,Tinsukia,13980.0
64,Udalguri,2531.0
65,Araria,437.0
66,Arwal,0.0
67,Aurangabad,1208.0
68,Banka,27.0
69,Begusarai,4750.0
70,Bhagalpur,5017.0
71,Bhojpur,425.0
72,Buxar,697.0
73,Darbhanga,922.0
74,Gaya,4470.0
75,Gopalganj,599.0
76,Jamui,166.0
77,Jehanabad,321.0
78,Kaimur,2891.0
79,Katihar,1090.0
80,Khagaria,180.0
81,Kishanganj,691.0
82,Lakhisarai,407.0
83,Madhepura,334.0
84,Madhubani,487.0
85,Munger,1225.0
86,Muzaffarpur,4626.0
87,Nalanda,1625.0
88,Nawada,841.0
89,Pashchim Champaran,1312.0
90,Patna,13956.0
91,Purba Champaran,1257.0
92,Purnia,1111.0
93,Rohtas,2644.0
94,Saharsa,399.0
95,Samastipur,1719.0
96,Saran,2417.0
97,Sheikhpura,73.0
98,Sheohar,28.0
99,Sitamarhi,744.0
100,Siwan,590.0
101,Supaul,496.0
102,Vaishali,2418.0
103,Chandigarh,8566.0
104,Balod,4443.0
105,Baloda Bazar,7294.0
106,Balrampur,226.0
107,Bastar,1632.0
108,Bemetara,3311.0
109,Bijapur,42.0
110,Bilaspur,11094.0
111,Dantewada,1807.0
112,Dhamtari,4832.0
113,Durg,23426.0
114,Gariaband,453.0
115,Janjgir-Champa,9839.0
116,Jashpur,820.0
117,Kabeerdham,1220.0
118,Kondagaon,403.0
119,Korba,12699.0
120,Koriya,4732.0
121,Mahasamund,2936.0
122,Mungeli,2069.0
123,Narayanpur,166.0
124,Raigarh,5600.0
125,Raipur,19720.0
126,Rajnandgaon,6080.0
127,Sukma,128.0
128,Surajpur,2731.0
129,Surguja,1635.0
130,Uttar Bastar Kanker,1183.0
131,Dadra and Nagar Haveli,904.0
132,Daman,1110.0
133,Diu,379.0
134,North Goa,11807.0
135,South Goa,7384.0
136,Ahmadabad,44708.0
137,Amreli,20506.0
138,Anand,20257.0
139,Aravalli,8522.0
140,Banas Kantha,32349.0
141,Bharuch,42881.0
142,Bhavnagar,25412.0
143,Botad,6011.0
144,Chhota Udaipur,7242.0
145,Dahod,3039.0
146,Devbhumi Dwarka,8664.0
147,Gandhinagar,25190.0
148,Gir Somnath,14526.0
149,Jamnagar,16733.0
150,Junagadh,37613.0
151,Kachchh,26281.0
152,Kheda,21589.0
153,Mahesana,43329.0
154,Mahisagar,1770.0
155,Morbi,15356.0
156,Narmada,3921.0
157,Navsari,12224.0
158,Panch Mahals,10519.0
159,Patan,15189.0
160,Porbandar,11975.0
161,Rajkot,41208.0
162,Sabar Kantha,17674.0
163,Surat,43987.0
164,Surendranagar,15065.0
165,Tapi,7877.0
166,The Dangs,177.0
167,Vadodara,37932.0
168,Valsad,14442.0
169,Ambala,24160.0
170,Bhiwani,33137.0
171,Faridabad,21985.0
172,Fatehabad,25591.0
173,Gurgaon,22479.0
174,Hisar,37685.0
175,Jhajjar,18404.0
176,Jind,25342.0
177,Kaithal,25383.0
178,Karnal,34242.0
179,Kurukshetra,28156.0
180,Mahendragarh,16135.0
181,Mewat,8117.0
182,Palwal,9060.0
183,Panchkula,7427.0
184,Panipat,17467.0
185,Rewari,13178.0
186,Rohtak,15243.0
187,Sirsa,36351.0
188,Sonipat,24220.0
189,Yamunanagar,14968.0
190,Bilaspur,4383.0
191,Chamba,1377.0
192,Hamirpur,2229.0
193,Kangra,6387.0
194,Kinnaur,0.0
195,Kinnaur,0.0
196,Kinnaur,0.0
197,Kullu,891.0
198,Lahul & Spiti,0.0
199,Lahul & Spiti,0.0
200,Mandi,3124.0
201,Shimla,1726.0
202,Sirmaur,2279.0
203,Solan,6501.0
204,Una,4460.0
205,Anantnag,0.0
206,Badgam,381.0
207,Bandipore,0.0
208,Baramulla,849.0
209,Doda,370.0
210,Ganderbal,0.0
211,Jammu,23755.0
212,Kargil,0.0
213,Kathua,7828.0
214,Kishtwar,1849.0
215,Kulgam,0.0
216,Kupwara,0.0
217,Leh (Ladakh),388.0
218,Poonch,124.0
219,Pulwama,158.0
220,Rajouri,1047.0
221,Ramban,95.0
222,Reasi,2387.0
