,NAME_2,Sum_of_Lights_2019
0,Nicobar Islands,3027.0
1,North and Middle Andaman,11524.0
2,South Andaman,9390.0
3,Anantapur,200801.0
4,Chittoor,196402.0
5,East Godavari,151234.0
6,Guntur,167068.0
7,Krishna,133257.0
8,Kurnool,177160.0
9,Nellore,163011.0
10,Prakasam,186444.0
11,Srikakulam,71874.0
12,Visakhapatnam,145707.0
13,Vizianagaram,59892.0
14,West Godavari,105471.0
15,Y.S.R.,155631.0
16,Anjaw,2240.0
17,Anjaw,2842.0
18,Changlang,18040.0
19,Dibang Valley,5078.0
20,East Kameng,7610.0
21,East Siang,7600.0
22,East Siang,7716.0
23,Kurung Kumey,4578.0
24,Lohit,9981.0
25,Lohit,0.0
26,Longding,5424.0
27,Lower Dibang Valley,4702.0
28,Lower Dibang Valley,1204.0
29,Lower Subansiri,12902.0
30,Namsai,4869.0
31,Papum Pare,21376.0
32,Tawang,6192.0
33,Tirap,9076.0
34,Upper Siang,9583.0
35,Upper Subansiri,8608.0
36,West Kameng,18226.0
37,West Siang,11827.0
38,Baksa,24419.0
39,Barpeta,23138.0
40,Bongaigaon,13039.0
41,Cachar,35923.0
42,Chirang,14986.0
43,Darrang,18962.0
44,Dhemaji,19979.0
45,Dhubri,31662.0
46,Dibrugarh,61164.0
47,Dima Hasao,23509.0
48,Goalpara,24302.0
49,Golaghat,49417.0
50,Hailakandi,13433.0
51,Jorhat,31345.0
52,Kamrup,45421.0
53,Kamrup Metropolitan,22451.0
54,Karbi Anglong,61416.0
55,Karimganj,20847.0
56,Kokrajhar,33246.0
57,Lakhimpur,29439.0
58,Morigaon,16763.0
59,Nagaon,48105.0
60,Nalbari,11446.0
61,Sivasagar,44754.0
62,Sonitpur,57172.0
63,Tinsukia,64368.0
64,Udalguri,23444.0
65,Araria,44936.0
66,Arwal,13569.0
67,Aurangabad,62964.0
68,Banka,46701.0
69,Begusarai,45365.0
70,Bhagalpur,54422.0
71,Bhojpur,52071.0
72,Buxar,33522.0
73,Darbhanga,43992.0
74,Gaya,100052.0
75,Gopalganj,47447.0
76,Jamui,43377.0
77,Jehanabad,27647.0
78,Kaimur,48392.0
79,Katihar,45668.0
80,Khagaria,21995.0
81,Kishanganj,25407.0
82,Lakhisarai,21833.0
83,Madhepura,36117.0
84,Madhubani,60149.0
85,Munger,23923.0
86,Muzaffarpur,77766.0
87,Nalanda,59273.0
88,Nawada,40948.0
89,Pashchim Champaran,73065.0
90,Patna,102684.0
91,Purba Champaran,77307.0
92,Purnia,57130.0
93,Rohtas,72014.0
94,Saharsa,32636.0
95,Samastipur,55670.0
96,Saran,75059.0
97,Sheikhpura,12756.0
98,Sheohar,12346.0
99,Sitamarhi,36315.0
100,Siwan,53509.0
101,Supaul,41759.0
102,Vaishali,53417.0
103,Chandigarh,9499.0
104,Balod,28586.0
105,Baloda Bazar,72947.0
106,Balrampur,61470.0
107,Bastar,57492.0
108,Bemetara,42819.0
109,Bijapur,66801.0
110,Bilaspur,105779.0
111,Dantewada,30548.0
112,Dhamtari,40232.0
113,Durg,64150.0
114,Gariaband,34569.0
115,Janjgir-Champa,71746.0
116,Jashpur,57893.0
117,Kabeerdham,56236.0
118,Kondagaon,42776.0
119,Korba,100604.0
120,Koriya,70374.0
121,Mahasamund,62152.0
122,Mungeli,47091.0
123,Narayanpur,32351.0
124,Raigarh,108850.0
125,Raipur,89748.0
126,Rajnandgaon,88138.0
127,Sukma,33318.0
128,Surajpur,60742.0
129,Surguja,47975.0
130,Uttar Bastar Kanker,64216.0
131,Dadra and Nagar Haveli,17159.0
132,Daman,3918.0
133,Diu,995.0
134,North Goa,41894.0
135,South Goa,32515.0
136,Ahmadabad,159181.0
137,Amreli,85419.0
138,Anand,55430.0
139,Aravalli,39785.0
140,Banas Kantha,132298.0
141,Bharuch,115464.0
142,Bhavnagar,93109.0
143,Botad,20759.0
144,Chhota Udaipur,42971.0
145,Dahod,49925.0
146,Devbhumi Dwarka,66485.0
147,Gandhinagar,61940.0
148,Gir Somnath,35233.0
149,Jamnagar,105201.0
150,Junagadh,85232.0
151,Kachchh,303391.0
152,Kheda,70325.0
153,Mahesana,90730.0
154,Mahisagar,26186.0
155,Morbi,82397.0
156,Narmada,29644.0
157,Navsari,33509.0
158,Panch Mahals,42763.0
159,Patan,72353.0
160,Porbandar,29447.0
161,Rajkot,122369.0
162,Sabar Kantha,55747.0
163,Surat,121035.0
164,Surendranagar,114892.0
165,Tapi,37510.0
166,The Dangs,15153.0
167,Vadodara,98596.0
168,Valsad,55503.0
169,Ambala,46415.0
170,Bhiwani,74671.0
171,Faridabad,57356.0
172,Fatehabad,40060.0
173,Gurgaon,65132.0
174,Hisar,71938.0
175,Jhajjar,53064.0
