,NAME_2,Sum_of_Lights_2006
0,Nicobar Islands,302.0
1,North and Middle Andaman,1136.0
2,South Andaman,3827.0
3,Anantapur,101095.0
4,Chittoor,96829.0
5,East Godavari,74224.0
6,Guntur,91232.0
7,Krishna,77299.0
8,Kurnool,69258.0
9,Nellore,78353.0
10,Prakasam,74589.0
11,Srikakulam,33900.0
12,Visakhapatnam,56543.0
13,Vizianagaram,26478.0
14,West Godavari,58717.0
15,Y.S.R.,70972.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,2592.0
19,Dibang Valley,0.0
20,East Kameng,4.0
21,East Siang,105.0
22,East Siang,69.0
23,Kurung Kumey,0.0
24,Lohit,233.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,68.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,751.0
30,Namsai,826.0
31,Papum Pare,2635.0
32,Tawang,120.0
33,Tirap,150.0
34,Upper Siang,0.0
35,Upper Subansiri,114.0
36,West Kameng,707.0
37,West Siang,134.0
38,Baksa,1415.0
39,Barpeta,2730.0
40,Bongaigaon,2814.0
41,Cachar,6044.0
42,Chirang,3072.0
43,Darrang,4005.0
44,Dhemaji,808.0
45,Dhubri,3156.0
46,Dibrugarh,36829.0
47,Dima Hasao,2317.0
48,Goalpara,2493.0
49,Golaghat,11544.0
50,Hailakandi,2033.0
51,Jorhat,7711.0
52,Kamrup,12625.0
53,Kamrup Metropolitan,13768.0
54,Karbi Anglong,5063.0
55,Karimganj,1948.0
56,Kokrajhar,5422.0
57,Lakhimpur,1306.0
58,Morigaon,3568.0
59,Nagaon,11721.0
60,Nalbari,2648.0
61,Sivasagar,19526.0
62,Sonitpur,9250.0
63,Tinsukia,22843.0
64,Udalguri,3031.0
65,Araria,1922.0
66,Arwal,48.0
67,Aurangabad,2352.0
68,Banka,1722.0
69,Begusarai,8542.0
70,Bhagalpur,9557.0
71,Bhojpur,3772.0
72,Buxar,2098.0
73,Darbhanga,5467.0
74,Gaya,5905.0
75,Gopalganj,6137.0
76,Jamui,716.0
77,Jehanabad,934.0
78,Kaimur,5045.0
79,Katihar,3278.0
80,Khagaria,1004.0
81,Kishanganj,1501.0
82,Lakhisarai,883.0
83,Madhepura,2300.0
84,Madhubani,5127.0
85,Munger,3470.0
86,Muzaffarpur,10200.0
87,Nalanda,5954.0
88,Nawada,838.0
89,Pashchim Champaran,3289.0
90,Patna,22505.0
91,Purba Champaran,5840.0
92,Purnia,5759.0
93,Rohtas,8954.0
94,Saharsa,1967.0
95,Samastipur,4311.0
96,Saran,6433.0
97,Sheikhpura,524.0
98,Sheohar,222.0
99,Sitamarhi,1808.0
100,Siwan,3824.0
101,Supaul,3341.0
102,Vaishali,6200.0
103,Chandigarh,9170.0
104,Balod,7951.0
105,Baloda Bazar,10676.0
106,Balrampur,461.0
107,Bastar,5349.0
108,Bemetara,11802.0
109,Bijapur,493.0
110,Bilaspur,25947.0
111,Dantewada,3700.0
112,Dhamtari,8677.0
113,Durg,36750.0
114,Gariaband,574.0
115,Janjgir-Champa,18985.0
116,Jashpur,1469.0
117,Kabeerdham,7559.0
118,Kondagaon,989.0
119,Korba,23282.0
120,Koriya,8289.0
121,Mahasamund,6595.0
122,Mungeli,5527.0
123,Narayanpur,301.0
124,Raigarh,24780.0
125,Raipur,36248.0
126,Rajnandgaon,17427.0
127,Sukma,661.0
128,Surajpur,5959.0
129,Surguja,4088.0
130,Uttar Bastar Kanker,5563.0
131,Dadra and Nagar Haveli,7314.0
132,Daman,3218.0
133,Diu,721.0
134,North Goa,26552.0
135,South Goa,17970.0
136,Ahmadabad,67889.0
137,Amreli,39674.0
138,Anand,26175.0
139,Aravalli,13949.0
140,Banas Kantha,34571.0
141,Bharuch,53047.0
142,Bhavnagar,41875.0
143,Botad,11300.0
144,Chhota Udaipur,8685.0
145,Dahod,10812.0
146,Devbhumi Dwarka,28595.0
147,Gandhinagar,30883.0
148,Gir Somnath,21756.0
149,Jamnagar,51829.0
150,Junagadh,45007.0
151,Kachchh,91135.0
152,Kheda,27956.0
153,Mahesana,39524.0
154,Mahisagar,7443.0
155,Morbi,35166.0
156,Narmada,7378.0
157,Navsari,16834.0
158,Panch Mahals,12393.0
159,Patan,20577.0
160,Porbandar,18712.0
161,Rajkot,61968.0
162,Sabar Kantha,21672.0
163,Surat,68134.0
164,Surendranagar,43143.0
165,Tapi,13423.0
166,The Dangs,973.0
167,Vadodara,47079.0
168,Valsad,23660.0
169,Ambala,36438.0
170,Bhiwani,48231.0
171,Faridabad,34758.0
172,Fatehabad,34316.0
173,Gurgaon,43070.0
174,Hisar,48814.0
175,Jhajjar,27497.0
176,Jind,38430.0
177,Kaithal,37583.0
178,Karnal,50961.0
179,Kurukshetra,38254.0
180,Mahendragarh,24602.0
181,Mewat,13510.0
182,Palwal,16915.0
183,Panchkula,12886.0
184,Panipat,32635.0
185,Rewari,22884.0
186,Rohtak,23736.0
187,Sirsa,50941.0
188,Sonipat,39190.0
189,Yamunanagar,22362.0
190,Bilaspur,12930.0
191,Chamba,5197.0
192,Hamirpur,10283.0
193,Kangra,30420.0
194,Kinnaur,1242.0
195,Kinnaur,0.0
196,Kinnaur,0.0
197,Kullu,7289.0
198,Lahul & Spiti,0.0
199,Lahul & Spiti,0.0
200,Mandi,17043.0
201,Shimla,14891.0
202,Sirmaur,12687.0
203,Solan,27434.0
204,Una,15945.0
205,Anantnag,988.0
206,Badgam,2827.0
207,Bandipore,72.0
208,Baramulla,3346.0
209,Doda,1630.0
210,Ganderbal,1207.0
211,Jammu,36355.0
212,Kargil,487.0
213,Kathua,15489.0
214,Kishtwar,1010.0
215,Kulgam,316.0
216,Kupwara,206.0
217,Leh (Ladakh),1801.0
218,Poonch,1066.0
219,Pulwama,2085.0
220,Rajouri,5326.0
221,Ramban,1211.0
222,Reasi,4996.0
223,Samba,12725.0
224,Shupiyan,138.0
225,Srinagar,9716.0
226,Udhampur,6653.0
227,Bokaro,24336.0
228,Chatra,1330.0
229,Deoghar,6150.0
230,Dhanbad,32735.0
231,Dumka,1610.0
232,Garhwa,1350.0
233,Giridih,5646.0
234,Godda,2748.0
235,Gumla,645.0
236,Hazaribagh,12249.0
237,Jamtara,4039.0
238,Khunti,665.0
239,Kodarma,2581.0
240,Latehar,237.0
241,Lohardaga,458.0
242,Pakur,1469.0
243,Palamu,2335.0
244,Pashchimi Singhbhum,6618.0
245,Purbi Singhbhum,18869.0
246,Ramgarh,14447.0
247,Ranchi,21620.0
248,Sahibganj,1059.0
249,Saraikela-kharsawan,12659.0
250,Simdega,668.0
251,Bagalkot,45078.0
252,Bangalore,89294.0
253,Bangalore Rural,34344.0
254,Belgaum,91477.0
255,Bellary,55826.0
256,Bidar,33025.0
257,Bijapur,45899.0
258,Chamrajnagar,22051.0
259,Chikballapura,33404.0
260,Chikmagalur,19038.0
261,Chitradurga,42319.0
262,Dakshina Kannada,27891.0
263,Davanagere,37387.0
264,Dharwad,29714.0
265,Gadag,18985.0
266,Gulbarga,58456.0
267,Hassan,42587.0
268,Haveri,29724.0
269,Kodagu,6043.0
270,Kolar,42542.0
271,Koppal,30140.0
272,Mandya,47592.0
273,Mysore,49047.0
274,Raichur,39111.0
275,Ramanagara,31315.0
276,Shimoga,16768.0
277,Tumkur,68339.0
278,Udupi,15180.0
279,Uttara Kannada,19025.0
280,Yadgir,20280.0
281,Alappuzha,19787.0
282,Ernakulam,43826.0
283,Idukki,14422.0
284,Kannur,21028.0
285,Kasaragod,11213.0
286,Kollam,29951.0
287,Kottayam,21806.0
288,Kozhikode,22140.0
289,Malappuram,26183.0
290,Palakkad,34585.0
291,Pathanamthitta,16285.0
292,Thiruvananthapuram,34720.0
293,Thrissur,35871.0
294,Wayanad,9687.0
295,Lakshadweep,105.0
296,Agar Malwa,2583.0
297,Alirajpur,1123.0
298,Anuppur,8219.0
299,Ashoknagar,4670.0
300,Balaghat,9277.0
301,Barwani,7175.0
302,Betul,8240.0
303,Bhind,10772.0
304,Bhopal,27999.0
305,Burhanpur,5008.0
306,Chhatarpur,17073.0
307,Chhindwara,13670.0
308,Damoh,9684.0
309,Datia,8786.0
310,Dewas,19339.0
311,Dhar,14967.0
312,Dindori,435.0
313,East Nimar,9618.0
314,Guna,14703.0
315,Gwalior,25231.0
316,Harda,8027.0
317,Hoshangabad,19374.0
318,Indore,40623.0
319,Jabalpur,30345.0
320,Jhabua,2199.0
321,Katni,18083.0
