,NAME_2,Sum_of_Lights_2018
0,Nicobar Islands,2965.0
1,North and Middle Andaman,14006.0
2,South Andaman,9587.0
3,Anantapur,189118.0
4,Chittoor,176316.0
5,East Godavari,144408.0
6,Guntur,158056.0
7,Krishna,118157.0
8,Kurnool,169874.0
9,Nellore,152758.0
10,Prakasam,177198.0
11,Srikakulam,64290.0
12,Visakhapatnam,145892.0
13,Vizianagaram,59176.0
14,West Godavari,92530.0
15,Y.S.R.,142590.0
16,Anjaw,1211.0
17,Anjaw,8818.0
18,Changlang,15098.0
19,Dibang Valley,29976.0
20,East Kameng,7172.0
21,East Siang,7122.0
22,East Siang,7771.0
23,Kurung Kumey,20143.0
24,Lohit,9924.0
25,Lohit,335.0
26,Longding,4521.0
27,Lower Dibang Valley,4649.0
28,Lower Dibang Valley,3647.0
29,Lower Subansiri,13661.0
30,Namsai,4201.0
31,Papum Pare,20454.0
32,Tawang,7248.0
33,Tirap,8522.0
34,Upper Siang,18827.0
35,Upper Subansiri,23014.0
36,West Kameng,29172.0
37,West Siang,21804.0
38,Baksa,24072.0
39,Barpeta,22827.0
40,Bongaigaon,12734.0
41,Cachar,33830.0
42,Chirang,13408.0
43,Darrang,18254.0
44,Dhemaji,20895.0
45,Dhubri,30875.0
46,Dibrugarh,60250.0
47,Dima Hasao,28737.0
48,Goalpara,24163.0
49,Golaghat,45576.0
50,Hailakandi,12545.0
51,Jorhat,30452.0
52,Kamrup,42558.0
53,Kamrup Metropolitan,20113.0
54,Karbi Anglong,69099.0
55,Karimganj,20269.0
56,Kokrajhar,31753.0
57,Lakhimpur,28314.0
58,Morigaon,16616.0
59,Nagaon,46975.0
60,Nalbari,11179.0
61,Sivasagar,46940.0
62,Sonitpur,55802.0
63,Tinsukia,61819.0
64,Udalguri,23042.0
65,Araria,39918.0
66,Arwal,11326.0
67,Aurangabad,54337.0
68,Banka,40240.0
69,Begusarai,38175.0
70,Bhagalpur,45853.0
71,Bhojpur,44659.0
72,Buxar,26475.0
73,Darbhanga,36082.0
74,Gaya,83351.0
75,Gopalganj,42031.0
76,Jamui,37058.0
77,Jehanabad,20324.0
78,Kaimur,47259.0
79,Katihar,39187.0
80,Khagaria,19675.0
81,Kishanganj,24195.0
82,Lakhisarai,18685.0
83,Madhepura,34252.0
84,Madhubani,49028.0
85,Munger,21301.0
86,Muzaffarpur,58026.0
87,Nalanda,53260.0
88,Nawada,37490.0
89,Pashchim Champaran,69338.0
90,Patna,88025.0
91,Purba Champaran,61035.0
92,Purnia,47213.0
93,Rohtas,74344.0
94,Saharsa,28845.0
95,Samastipur,43707.0
96,Saran,52764.0
97,Sheikhpura,10924.0
98,Sheohar,9702.0
99,Sitamarhi,27566.0
100,Siwan,38734.0
101,Supaul,34393.0
102,Vaishali,40951.0
103,Chandigarh,9394.0
104,Balod,28118.0
105,Baloda Bazar,67846.0
106,Balrampur,58674.0
107,Bastar,57457.0
108,Bemetara,40694.0
109,Bijapur,67755.0
110,Bilaspur,98986.0
111,Dantewada,29366.0
112,Dhamtari,41331.0
113,Durg,60055.0
114,Gariaband,37333.0
115,Janjgir-Champa,67283.0
116,Jashpur,55798.0
117,Kabeerdham,55592.0
118,Kondagaon,44055.0
119,Korba,97914.0
120,Koriya,68619.0
121,Mahasamund,59254.0
122,Mungeli,43626.0
123,Narayanpur,28469.0
124,Raigarh,106036.0
125,Raipur,80623.0
126,Rajnandgaon,88065.0
127,Sukma,35020.0
128,Surajpur,57848.0
129,Surguja,44588.0
130,Uttar Bastar Kanker,65037.0
131,Dadra and Nagar Haveli,16711.0
132,Daman,3871.0
133,Diu,892.0
134,North Goa,37922.0
135,South Goa,30887.0
136,Ahmadabad,148015.0
137,Amreli,84570.0
138,Anand,52243.0
139,Aravalli,39181.0
140,Banas Kantha,127314.0
141,Bharuch,103269.0
142,Bhavnagar,90447.0
143,Botad,19565.0
144,Chhota Udaipur,44489.0
145,Dahod,53814.0
146,Devbhumi Dwarka,62952.0
147,Gandhinagar,55207.0
148,Gir Somnath,33690.0
149,Jamnagar,103053.0
150,Junagadh,82912.0
151,Kachchh,295809.0
152,Kheda,67160.0
153,Mahesana,80382.0
154,Mahisagar,26870.0
155,Morbi,73824.0
156,Narmada,28925.0
157,Navsari,30765.0
158,Panch Mahals,41427.0
159,Patan,68275.0
160,Porbandar,28131.0
161,Rajkot,112655.0
162,Sabar Kantha,53087.0
163,Surat,111394.0
164,Surendranagar,111402.0
165,Tapi,36580.0
166,The Dangs,15194.0
167,Vadodara,89815.0
168,Valsad,50380.0
169,Ambala,39242.0
170,Bhiwani,69437.0
171,Faridabad,50592.0
172,Fatehabad,35334.0
173,Gurgaon,57966.0
174,Hisar,64842.0
175,Jhajjar,46849.0
176,Jind,45780.0
177,Kaithal,39668.0
178,Karnal,62441.0
179,Kurukshetra,36214.0
180,Mahendragarh,34841.0
181,Mewat,35142.0
182,Palwal,26423.0
183,Panchkula,21760.0
184,Panipat,38101.0
185,Rewari,33270.0
186,Rohtak,34327.0
187,Sirsa,58523.0
188,Sonipat,56202.0
189,Yamunanagar,28064.0
190,Bilaspur,15113.0
191,Chamba,63215.0
192,Hamirpur,13030.0
193,Kangra,64965.0
194,Kinnaur,59086.0
195,Kinnaur,1070.0
196,Kinnaur,959.0
197,Kullu,54138.0
198,Lahul & Spiti,128013.0
199,Lahul & Spiti,1771.0
200,Mandi,42166.0
201,Shimla,52510.0
202,Sirmaur,31931.0
203,Solan,34563.0
204,Una,20925.0
205,Anantnag,28593.0
206,Badgam,17628.0
207,Bandipore,24793.0
208,Baramulla,28838.0
209,Doda,25387.0
210,Ganderbal,14319.0
211,Jammu,69388.0
212,Kargil,141956.0
213,Kathua,43183.0
214,Kishtwar,73916.0
215,Kulgam,13972.0
216,Kupwara,26099.0
217,Leh (Ladakh),322521.0
218,Poonch,21512.0
219,Pulwama,10899.0
220,Rajouri,36829.0
221,Ramban,11599.0
222,Reasi,27359.0
223,Samba,24728.0
224,Shupiyan,8088.0
225,Srinagar,19445.0
226,Udhampur,35753.0
227,Bokaro,66517.0
228,Chatra,38415.0
229,Deoghar,44100.0
230,Dhanbad,69590.0
231,Dumka,42050.0
232,Garhwa,37428.0
233,Giridih,59779.0
234,Godda,28539.0
235,Gumla,47792.0
236,Hazaribagh,73419.0
237,Jamtara,23249.0
238,Khunti,26648.0
239,Kodarma,19020.0
240,Latehar,37525.0
241,Lohardaga,16965.0
242,Pakur,19698.0
243,Palamu,49322.0
244,Pashchimi Singhbhum,78620.0
245,Purbi Singhbhum,59213.0
246,Ramgarh,37603.0
247,Ranchi,88763.0
248,Sahibganj,25981.0
249,Saraikela-kharsawan,44397.0
250,Simdega,31664.0
251,Bagalkot,77338.0
252,Bangalore,123775.0
253,Bangalore Rural,60412.0
254,Belgaum,153869.0
255,Bellary,110664.0
256,Bidar,68512.0
257,Bijapur,108928.0
258,Chamrajnagar,50322.0
259,Chikballapura,55896.0
260,Chikmagalur,63267.0
261,Chitradurga,92012.0
262,Dakshina Kannada,51992.0
263,Davanagere,79020.0
264,Dharwad,55088.0
265,Gadag,47719.0
266,Gulbarga,127009.0
267,Hassan,79072.0
268,Haveri,53101.0
269,Kodagu,29300.0
270,Kolar,67535.0
271,Koppal,62310.0
272,Mandya,64875.0
273,Mysore,82905.0
274,Raichur,95395.0
275,Ramanagara,55169.0
276,Shimoga,64750.0
277,Tumkur,128030.0
278,Udupi,33980.0
279,Uttara Kannada,70002.0
280,Yadgir,57070.0
281,Alappuzha,17679.0
282,Ernakulam,47635.0
283,Idukki,33482.0
284,Kannur,24226.0
285,Kasaragod,16896.0
286,Kollam,29663.0
287,Kottayam,22447.0
288,Kozhikode,21719.0
289,Malappuram,28542.0
290,Palakkad,42910.0
291,Pathanamthitta,21283.0
292,Thiruvananthapuram,37376.0
293,Thrissur,36644.0
294,Wayanad,15699.0
295,Lakshadweep,283.0
296,Agar Malwa,30848.0
297,Alirajpur,40489.0
298,Anuppur,30184.0
299,Ashoknagar,52411.0
300,Balaghat,85235.0
301,Barwani,55700.0
302,Betul,98304.0
303,Bhind,67306.0
304,Bhopal,64038.0
305,Burhanpur,31559.0
306,Chhatarpur,109408.0
307,Chhindwara,119397.0
308,Damoh,85461.0
309,Datia,39710.0
310,Dewas,83693.0
311,Dhar,103948.0
312,Dindori,57903.0
313,East Nimar,75851.0
314,Guna,79364.0
315,Gwalior,80767.0
316,Harda,36867.0
317,Hoshangabad,70596.0
318,Indore,90817.0
319,Jabalpur,71038.0
320,Jhabua,47197.0
321,Katni,81145.0
322,Mandla,62744.0
323,Mandsaur,66933.0
324,Morena,71873.0
325,Narsimhapur,66412.0
326,Neemuch,49782.0
327,Panna,71942.0
328,Raisen,105376.0
329,Rajgarh,72911.0
330,Ratlam,63170.0
331,Rewa,96543.0
332,Sagar,135249.0
333,Satna,111431.0
334,Sehore,80965.0
335,Seoni,87899.0
336,Shahdol,86066.0
337,Shajapur,41650.0
338,Sheopur,56761.0
339,Shivpuri,115998.0
340,Sidhi,54214.0
341,Singrauli,87679.0
342,Tikamgarh,75333.0
343,Ujjain,85676.0
344,Umaria,36900.0
345,Vidisha,84060.0
346,West Nimar,86034.0
347,Ahmadnagar,229807.0
348,Akola,69351.0
349,Amravati,140289.0
350,Aurangabad,128244.0
351,Bhandara,50182.0
352,Bid,126505.0
353,Buldana,103826.0
354,Chandrapur,125544.0
355,Dhule,80098.0
356,Garhchiroli,126765.0
357,Gondiya,48185.0
358,Hingoli,51587.0
359,Jalgaon,135394.0
360,Jalna,85106.0
361,Kolhapur,86651.0
362,Latur,79594.0
363,Mumbai City,5363.0
364,Mumbai Suburban,29813.0
365,Nagpur,156935.0
366,Nanded,116643.0
367,Nandurbar,68895.0
368,Nashik,218725.0
369,Osmanabad,75420.0
370,Palghar,88009.0
371,Parbhani,72830.0
372,Pune,308998.0
373,Raigarh,121320.0
374,Ratnagiri,74182.0
375,Sangli,97796.0
376,Satara,116653.0
377,Sindhudurg,43445.0
378,Solapur,215565.0
379,Thane,104859.0
380,Wardha,71632.0
381,Washim,55493.0
382,Yavatmal,145380.0
383,Bishnupur,5071.0
384,Chandel,22080.0
385,Churachandpur,22525.0
386,Imphal East,8975.0
387,Imphal West,10252.0
388,Senapati,31349.0
389,Tamenglong,27358.0
