,NAME_2,Sum_of_Lights_2002
0,Nicobar Islands,823.0
1,North and Middle Andaman,1722.0
2,South Andaman,4027.0
3,Anantapur,112336.0
4,Chittoor,103415.0
5,East Godavari,79305.0
6,Guntur,91962.0
7,Krishna,82191.0
8,Kurnool,86337.0
9,Nellore,82045.0
10,Prakasam,82233.0
11,Srikakulam,38412.0
12,Visakhapatnam,54556.0
13,Vizianagaram,28078.0
14,West Godavari,62433.0
15,Y.S.R.,66203.0
16,Anjaw,0.0
17,Anjaw,0.0
18,Changlang,2367.0
19,Dibang Valley,0.0
20,East Kameng,36.0
21,East Siang,99.0
22,East Siang,198.0
23,Kurung Kumey,0.0
24,Lohit,219.0
25,Lohit,0.0
26,Longding,0.0
27,Lower Dibang Valley,86.0
28,Lower Dibang Valley,0.0
29,Lower Subansiri,96.0
30,Namsai,619.0
31,Papum Pare,1827.0
32,Tawang,172.0
33,Tirap,87.0
34,Upper Siang,17.0
35,Upper Subansiri,0.0
36,West Kameng,724.0
37,West Siang,135.0
38,Baksa,1313.0
39,Barpeta,2831.0
40,Bongaigaon,2569.0
41,Cachar,9019.0
42,Chirang,3203.0
43,Darrang,2612.0
44,Dhemaji,290.0
45,Dhubri,2641.0
46,Dibrugarh,37702.0
47,Dima Hasao,2238.0
48,Goalpara,2498.0
49,Golaghat,16677.0
50,Hailakandi,2755.0
51,Jorhat,8331.0
52,Kamrup,10965.0
53,Kamrup Metropolitan,12925.0
54,Karbi Anglong,5562.0
55,Karimganj,4400.0
56,Kokrajhar,3923.0
57,Lakhimpur,831.0
58,Morigaon,3247.0
59,Nagaon,12677.0
60,Nalbari,2113.0
61,Sivasagar,21612.0
62,Sonitpur,8045.0
63,Tinsukia,19775.0
64,Udalguri,3115.0
65,Araria,2932.0
66,Arwal,70.0
67,Aurangabad,3618.0
68,Banka,2024.0
69,Begusarai,9686.0
70,Bhagalpur,12702.0
71,Bhojpur,2411.0
72,Buxar,2329.0
73,Darbhanga,6356.0
74,Gaya,7414.0
75,Gopalganj,4618.0
76,Jamui,1820.0
77,Jehanabad,1568.0
78,Kaimur,5309.0
79,Katihar,4750.0
80,Khagaria,2075.0
81,Kishanganj,1825.0
82,Lakhisarai,2004.0
83,Madhepura,2960.0
84,Madhubani,5223.0
85,Munger,4881.0
