District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lower Dibang Valley,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,52810.90310955814,54337.02783576172,59847.76356347376,61736.924740335315,59352.158378669475,59743.650263406154,59482.91798270043,62026.93881483859,60945.3648380788,60140.25823801403,61051.005738986045,70254.48920910787,57607.69193888293,57767.22295964539,58419.17363997589,52870.17005666464,59599.425710362055,155372.76639711583,152234.88564107427,144001.3130006387,204298.69659484635,164844.78519695488,166412.43774606896,138423.13912446893,162422.04781675778,195040.33849081816
Lower Dibang Valley,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,92428.09495195143,68958.05365207318,60048.16858686564,97842.00567446742,148366.66601028675,91568.51302047032,120945.4770258867,92170.84518941113,122588.11095460023
Lower Subansiri,54302.22292177386,52933.10975166067,61913.91735632913,63710.20271223295,64571.372380322864,59538.384031378984,62459.3368600507,79895.51066405459,69190.26198862525,60384.88631827778,59446.06914909227,58572.38712258075,81984.18122179553,78625.52525031165,78695.06050412347,83200.26266417874,78679.89636786135,82865.28936480585,91724.90481959622,83487.18962242691,83423.4453303614,78638.26476284582,231579.94359820746,246465.40335261842,227344.28792131072,348905.23972952826,345656.4254144569,239603.02605328456,230354.90025535595,232215.65143250432,234285.651890907
Namsai,84409.62432122296,100793.67687406823,83300.33805840753,81472.043483944,79400.70603723865,120941.70269431152,83073.15690711368,160240.6812497834,83367.48827996441,83533.2379281619,88220.9989154273,78705.6205361337,87491.65660478607,89049.4218151142,91274.99960598019,87566.99691103988,80927.42663670867,84028.25068049597,78957.49342843921,84883.8426782273,84466.695336339,87376.290424614,144267.901769728,146146.57954864085,146337.8330928181,147466.12943454145,149632.4952610892,161704.43158176227,189891.69898509094,203765.5512976572,205472.14780510488
Papum Pare,160244.4555813586,78489.08145930401,89049.4218151142,90694.96883730417,102386.23629688121,92274.44217735746,98566.86176296762,221159.11261038398,101849.3943086122,107952.20168910571,102838.11474323198,105534.73006272574,182303.60938856882,129754.59792664948,121806.32577056275,143541.27398529634,135198.46888458228,149573.14197085364,149051.0759228382,163268.14534241895,160166.24415055328,200130.96012372887,348822.33607716276,358393.30374240945,288783.2785492281,371204.96709918155,365989.968613822,369592.9695149345,313462.10990463354,367338.28393759276,386098.28700642724
Tawang,54337.02783576172,54337.02783576172,54109.42345666295,54402.96156240435,59446.06914909227,60900.59339981119,57644.594023090205,57583.78240038483,57607.69193888293,58602.674555511534,59113.51891024126,60125.00153055168,59549.70702610454,57644.594023090205,57646.041913737245,59482.91798270043,58232.048570671235,61983.92487941597,59538.88063245231,60543.64432406387,58011.71773225979,60388.660649852965,163326.0316204443,153197.7818315498,130570.08505583614,206931.88789723907,264670.7823615475,202179.76038041874,147894.09545112905,209575.81644753824,209011.3210835744
Tirap,57239.02859751065,80741.06491423816,59645.54651890601,57631.03343669252,60271.09728139727,62174.16379482017,65216.92728694161,54654.14103815909,54302.22292177386,54395.24589749583,59747.424594981334,61291.218084051005,59649.32085048119,60671.406719523075,58011.71773225979,59606.322255837375,62553.74562616739,65297.22937639552,69949.32837893498,83300.33805840753,63075.93759672931,60226.18589485887,147894.09545112905,216636.30704058925,147913.07266560823,230907.5799404789,231447.4584041674,232397.35496772864,205183.90326102055,193622.26679463955,350918.8865648217
Upper Siang,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,57239.02859751065,54337.02783576172,52777.089107799984,52872.7555257563,52844.45655576073,54337.02783576172,54337.02783576172,54337.02783576172,52892.24540937073,53554.796147238776,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,124177.45280684622,146334.05876124292,138675.32426823766,238456.62059394913,345731.7045721814,233857.84330860118,133855.44052385495,143515.74573358378,155058.5447216584
Upper Subansiri,54337.02783576172,54337.02783576172,54402.96156240435,54337.02783576172,52933.10975166067,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,52872.7555257563,54337.02783576172,54337.02783576172,54200.26941786776,58559.56897262671,58415.3993084007,57608.697061777035,58075.976065910225,73356.50200496374,57604.789139367414,58217.50498043531,60383.81675920592,59637.03709564213,153303.46311565491,205309.5371453384,159751.46261264404,299611.6379342556,373147.7599859584,228697.36568221523,126796.63075683384,145279.7470398916,166449.1350455026
West Kameng,63702.654049082594,57655.268612166496,68965.86094576813,65426.79362878737,101213.5882212633,84399.13085518387,81516.78528645176,84343.24324782334,89525.85594454936,83504.29106558459,78584.00760298465,69016.55759878267,82746.13869989733,88037.14628491469,78687.44503101171,91724.90481959622,83598.04959414752,83241.03938909611,92121.5594988856,91350.60872139795,90307.11766423473,89306.54109594644,241618.27760952932,303752.0910865182,243617.99880249542,375196.129207612,461664.6945642445,342810.4379946092,365239.78151335334,288398.8446154576,352733.712565409
West Siang,53554.796147238776,54337.02783576172,54200.26941786776,56378.4546935529,59455.037039739305,59426.76475594995,60949.13916965399,57657.59627707501,59446.06914909227,58462.52386588668,58466.29819746187,58644.09420385908,58076.04330455916,59341.18323019894,58462.52386588668,61140.65335879275,59549.70702610454,59925.852483329254,63251.067564390796,60706.88941772742,81427.67407423806,88846.0632991219,234753.0269016823,229524.246224546,165254.2306043351,288819.3915873272,372084.8863636443,238491.27958525522,202911.00309655676,226288.9421640317,236623.51085012886
Baksa,84132.42155006102,85899.7747805729,85899.7747805729,86230.4616000938,87349.87010358772,78683.67069943652,83494.73828557729,92129.28281140044,88031.02387359079,80919.87797355831,92300.86249838374,78568.1453474688,119341.73502164237,102053.68249425286,99097.05249111606,112645.0413210888,138897.90134542706,104099.9930295737,126135.3860876719,128621.25857206115,119502.32854750923,92255.25625524543,353568.8551887938,371809.36015865597,355426.9839740973,378952.593197223,382202.1605378999,375972.52251422015,371382.36068321514,380529.18324801483,419806.0929130309
Barpeta,124494.21301297801,104005.74819315031,124131.04024030438,124882.45148004995,173980.32417803325,125951.24739380385,147234.94466659476,144323.62426734535,153567.6134277811,127567.45967736082,134284.03501871848,128241.80777545956,160718.22252521393,140605.09596419614,132887.00966609013,158939.20334214994,163924.88376459535,152501.53933371292,161215.36164580446,199916.20123029416,164328.67364517148,149632.4952610892,313971.6615663479,372815.6501888356,305877.99842306005,372709.5440208041,376051.61805268604,372961.822931571,371314.4227148618,408956.2893570249,413144.67500375956
Bongaigaon,104338.35174209776,91813.4764965044,91375.79355246267,91619.2007882382,125971.96572997345,102872.08372740865,121427.29619402094,141672.72923415544,139993.4050366842,124131.04024030438,125181.28043856939,97530.632909652,138905.45000857743,123958.83178132698,146261.12909095653,145268.42404516606,150772.79462851456,153461.9177872636,153949.02761934444,165990.32988179754,157778.31940722783,146139.03088549047,246492.9880553222,225893.57095795302,244143.2111580975,233506.3062640884,240682.83398764033,2116732.470775031,341251.3923878823,349513.36767425324,296241.35754349135
Cachar,215771.10578213548,210689.38877712973,204704.31434072173,205162.07694846345,236273.43382865578,200219.08253357594,229881.15395845342,235097.9095204384,231431.3310258987,306276.87119758845,232561.29887923072,213144.9134638531,225163.81733017912,210606.53693680427,216551.24386335802,233371.19525045148,231223.0048470601,227489.57391702707,230280.58442751193,244265.3760842989,246627.98503760385,250400.1356728136,470714.2704056745,504255.50194803375,377034.33723481215,513260.9413771289,542780.3655045611,513795.30077084136,561100.0748825084,513611.38254248555,522207.59149333043
Chirang,124377.02326679253,105470.9691780591,104017.07118787586,125885.4556987376,145272.19837674123,137158.81511918118,140803.45715314316,143911.02865187186,150147.4798738278,148445.34892421175,155066.09338480877,121800.74385840252,143184.39599720124,144199.54203062953,145449.0417189593,151497.00847258582,151725.94962350768,151231.6470127886,164083.53562864338,155744.5729264758,163308.2826832848,166464.91635171583,226697.8213153258,234215.7528246114,250219.18774186913,349827.71749643236,357265.8222984074,401389.35048076976,397041.7121827053,389415.0666280479,342567.12204583717
Darrang,105959.34472711275,114283.68275482545,103940.19200718246,107039.46348279707,129241.03814026678,113100.66117183713,147243.96561376678,140517.83995716352,182299.83505699364,210894.00963955608,121091.5956317687,106124.7018183618,153092.826336749,152162.60392937015,151327.12732326597,156168.36818128175,158755.46611724328,160028.57174696712,198582.55364273922,205229.88519477076,195542.505491512,204553.3176921994,344000.69480131473,288598.33630204416,295310.9666644596,305617.41220081766,344549.25734979013,346715.5658807078,316280.2188127711,352912.2225281135,410740.3655723192
Dhemaji,59446.06914909227,54200.26941786776,59348.7318933493,58395.185165780065,59545.93269452936,60543.64432406387,57608.697061777035,62221.71895525924,59113.51891024126,63075.93759672931,60443.455000457034,59636.32849291567,160244.4555813586,98065.85250794371,82869.06369638104,83481.98486991119,92143.47994347214,93761.13163590258,100094.02320924611,101680.56037449701,97849.55433761778,91603.16117278965,235049.11117039598,303859.5965070016,231302.26581013892,371967.4417887306,381523.1480325125,370604.9110942402,306120.4838913256,321822.431598148,382077.2952975044
Dhubri,105382.24583086821,106424.76133802714,90543.91521627399,104971.00635278439,102330.34072884514,122365.57811121612,118436.52933541169,125202.7482185235,124516.14067826013,104044.83248430536,129508.87171145987,100530.27965358719,127614.87240120633,128625.03290363634,147265.13931919623,152462.24175994258,149393.92709747455,121255.67775256587,162757.01053921436,169258.20870655857,158246.12383881467,143240.54089648093,382704.13805897604,384467.7071485254,384749.73531071254,487092.80513172207,440204.8962585335,449073.6826200082,465460.152277303,507002.01242670213,581009.1424192985
Dibrugarh,401090.48929406964,542202.7468555178,543936.744673458,525778.3161916094,508055.35654203437,566012.5002093598,545964.5865005421,507790.86229538015,560090.079575593,525202.6710522088,528200.0861025575,577145.5201163057,573175.9803983696,582667.0862486615,563690.8202483662,516553.6221751692,529894.7700485816,547599.7415053146,539410.7260386274,522281.7857434186,584385.5618326511,572573.6273638157,809713.3851599657,899313.291286538,810372.6177108815,809282.8328069268,812736.594204722,899193.4270517585,763572.9542397863,935645.9619479346,834402.9270830279
Dima Hasao,92428.09495195143,101759.41095281957,103925.35851630662,119273.05661252649,101849.3943086122,92315.95982468447,101984.49067271868,144544.55062903507,105446.88471872763,119726.01999019552,128241.80777545956,98382.55706981283,105030.72277343499,105880.99365661666,114242.34318028367,152237.08527786218,153610.59742074847,151125.39793689016,158935.42901057474,142123.67121878322,149304.5663637703,151330.90165484115,593526.6024020538,537629.484518155,304138.8970435651,386999.28955655004,412345.8883589643,375713.2126334121,318982.71858733933,305847.8037704586,367908.3584938418
Goalpara,92270.66784578229,122584.33662302505,143445.10577362304,145828.4811569005,126440.6234777515,137009.63587636309,151377.00806549028,196336.52070457954,149576.91630242884,126384.45024285263,114436.1541900537,92346.15447728592,115914.32781535928,130177.59814190428,114427.27590825404,198730.94642440145,204306.24525799672,225346.65782734405,239423.8086819042,204084.05543741622,241764.78725131496,231602.58958765856,353044.79340644676,372709.5440208041,357902.50828917423,376951.30194015807,380042.2507058457,381016.4631450607,386399.5293731654,408481.5456488265,414026.20562085015
Golaghat,148476.32972331526,212542.48157109795,159255.4004455459,207104.56943033714,241927.08350904784,238615.80026786905,236680.5205167556,241640.92359898044,298329.080524524,289059.1825777643,298856.26635383576,370165.5515719434,288470.0090284879,335016.01323546027,225756.6382943317,347177.1883039227,354524.10717498185,363735.7166531305,289362.741345216,346491.7780428053,375983.6579846729,366927.0622564871,527896.5872913748,598422.695812177,550960.7008694173,573157.1087404938,593290.084336295,638144.0189010734,632573.0851326938,638904.3963263069,684787.8618018304
Hailakandi,106770.05502859569,125885.4556987376,101611.00394891352,107039.46348279707,113352.46817441173,126537.92905743152,141699.99782438957,144382.27756860357,129056.7671508157,123897.03024877096,128621.25857206115,101497.60976337903,110836.9474465418,105508.71249381096,106878.29924171309,130177.59814190428,138879.111449688,195234.30087829786,141466.85413153333,126473.28740694001,105461.66755812615,103872.51787425404,247511.1804852036,370339.1882003976,232390.59278778755,231440.6961900808,246990.07426192155,375819.4853129242,241648.47226213082,241308.85265348307,399437.0179360493
Jorhat,161234.7046544793,240226.6146515964,205712.2248415642,209018.86974672475,214144.28932419248,224562.20874281073,251831.21240127957,285205.2778331321,232597.03938345227,232595.26786340735,227281.2857520813,195160.10528784528,231119.31374944645,248125.75833248036,209716.62782903147,232046.1912666896,232471.36038836488,229347.9467821311,241543.97546213077,223348.98466384367,240686.3006400943,235958.5858228414,375192.35487603693,409285.14670980215,373084.4872530986,442067.7013524409,434512.17909607076,435453.32423703815,412600.41460956255,440754.0636589332,542157.8651801911
Kamrup,231546.70164085412,259762.26409478823,228716.23734009115,232393.58063615346,242676.34463903913,233390.0669083274,238615.80026786905,234640.93453329735,230469.6619798347,239269.0610873217,240663.50699400704,231253.9374418651,237441.40402074286,237991.87922234018,243663.78910168228,303770.96274439414,295493.2468512981,305844.4924043077,323044.4632545247,344481.31938143686,372277.37727397867,375938.3660057707,604766.4010016546,526397.064752512,516993.74369476363,560148.4071100509,573818.0215038094,586316.7223493824,582203.8252332899,602046.5488185453,620603.0724518743
