Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Botad,6011,8742,8041,11542,11516,13240,13065,13963,15440,15016,15691,13207,14747,12378,11300,13623,13095,14516,11767,13800,15674,14094,15911,16655,15988,18985,19565,20759,20432,20820,22942
Chhota Udaipur,7242,9538,10499,13750,11570,8812,11543,13239,14561,11741,13020,12606,11776,11245,8685,14608,13526,13490,14650,15469,12984,10624,32261,34385,33763,39630,44489,42971,40431,42816,44552
Dahod,3039,4494,6954,9629,9249,8470,8982,11652,13775,14572,16441,17076,16158,15240,10812,17544,14983,13564,14691,20870,18335,20966,41262,44224,42438,47301,53814,49925,49160,50432,53959
Devbhumi Dwarka,8664,12542,12263,19146,19906,22462,25396,30021,31128,30066,31074,28367,28069,30032,28595,34850,31521,35418,32141,36173,40879,40199,52192,55779,54454,62461,62952,66485,64158,68480,70714
Gandhinagar,25190,25593,24543,31039,31300,34489,31960,34062,36275,37705,37782,33948,34470,33183,30883,35493,34491,38000,37766,40394,46567,45650,44635,47485,46578,51637,55207,61940,63917,66915,72200
Gir Somnath,14526,15389,15603,19798,20270,22578,24356,26522,28909,25755,27005,23315,24263,23141,21756,25049,24915,25047,22482,25232,26685,25495,26003,28594,27611,31487,33690,35233,34886,35023,36284
Jamnagar,16733,25270,25291,36683,37568,45787,49432,58444,60966,60144,61306,55698,57472,55538,51829,64813,61411,62748,58515,64403,71027,67145,87856,93397,91005,103534,103053,105201,101387,106205,112466
Junagadh,37613,41753,40045,53482,52929,58675,62802,68692,74206,69962,71855,59941,62641,55068,45007,51683,50130,55229,45410,52557,57802,54300,65875,69626,65600,80037,82912,85232,82933,83932,89238
Kachchh,26281,35101,36341,50747,54800,58091,62573,67840,75312,86786,93401,88528,91086,102384,91135,114011,112098,112369,117608,118163,135885,118454,215495,222329,209905,311317,295809,303391,270869,298269,318628
Kheda,21589,24658,24345,31183,30018,30653,30914,33720,37087,36540,37552,33176,36771,33870,27956,35570,31948,37928,33181,39654,41386,42206,50502,56747,54591,62198,67160,70325,71206,75204,84186
Mahesana,43329,44393,42484,52206,53403,57414,51390,53846,58559,58792,60185,52456,53968,44938,39524,47256,46064,56753,48800,51567,54773,56081,64416,69085,66119,76577,80382,90730,93105,99058,106420
Mahisagar,1770,3089,4614,6191,6301,5931,6380,8002,9331,9937,9856,8382,9677,9799,7443,11366,7368,10387,9143,11639,10254,11280,22082,22993,21819,25136,26870,26186,24897,26350,28224
Morbi,15356,22345,22771,30107,30429,35157,35146,39507,44905,50301,48307,42828,44459,40857,35166,41985,39635,43183,39320,43206,49689,44297,54894,58356,58900,70846,73824,82397,83895,92329,100977
Narmada,3921,5296,7778,6642,6440,5821,7451,8661,9509,8835,8075,9851,8717,7888,7378,9034,8042,8665,9839,11905,8582,8043,19593,22346,21437,26820,28925,29644,26582,29022,30164
Navsari,12224,14207,13559,16945,17006,17389,18577,19606,21239,21616,22604,21192,22065,19861,16834,21031,18920,21034,19996,21742,22686,23343,24908,26096,25240,28668,30765,33509,31692,35572,42874
Panch Mahals,10519,11901,12361,16152,15975,15548,15721,17090,19363,18717,18342,16483,17584,16377,12393,17774,15802,18201,16754,21675,21695,24104,32825,35191,33714,38546,41427,42763,42769,45714,50544
Patan,15189,17358,17253,24324,21878,25183,24995,28517,29882,33047,31531,28025,28139,23646,20577,27016,20369,28099,30315,31444,26805,28412,56751,58339,55625,66513,68275,72353,70301,74971,79610
Porbandar,11975,13351,12797,16896,17067,19058,20610,21960,23714,23380,24152,21507,21844,21194,18712,21175,19335,20234,16596,18159,20301,19466,22758,23475,23316,27295,28131,29447,29942,32187,32813
Rajkot,41208,48569,46764,62919,63312,70530,72538,79453,84138,81062,82245,73945,77210,69362,61968,72144,70321,77086,68295,78011,88260,84294,94805,99009,98178,111418,112655,122369,126347,132989,142807
Sabar Kantha,17674,20323,19732,24784,24917,25835,24520,28242,33241,33337,33543,30778,33688,26611,21672,28959,24776,30528,24640,27481,26602,28144,40784,42854,40629,49725,53087,55747,54815,58781,62636
Surat,43987,47602,49610,56935,56752,62058,68576,72638,77180,80003,84928,71133,74752,68489,68134,75217,71624,79876,79254,81423,86765,88691,93345,99396,98591,105983,111394,121035,117358,124365,133322
Surendranagar,15065,26931,29081,41471,37856,44160,47323,51769,59048,63617,61642,53307,57062,53783,43143,54552,47614,52072,50648,55703,55942,51402,88637,92238,90217,107100,111402,114892,109635,117362,127433
Tapi,7877,10054,10838,12187,12353,11821,13768,15240,17745,17090,17190,16003,16408,14748,13423,17530,16320,16972,16214,19476,17954,18219,27616,30388,29261,34870,36580,37510,35773,38240,41166
The Dangs,177,647,609,803,1021,610,931,1190,1433,1065,730,1129,902,1481,973,1930,1230,745,911,1466,738,886,7845,10344,10393,14659,15194,15153,11068,11850,13923
Vadodara,37932,42098,40212,49486,49084,50903,50714,52929,56479,56102,57902,54995,55891,52147,47079,54687,53592,59067,57532,63267,67252,64369,75741,78986,77487,85217,89815,98596,101285,105872,116771
Valsad,14442,17470,16566,20673,20547,21971,23888,24800,27967,27570,28020,27125,28623,27645,23660,30670,29197,29996,30062,33255,34871,35118,40717,43506,41008,47170,50380,55503,54041,56796,63647
Ambala,24160,21562,20799,27603,29608,31284,30170,32473,33915,39620,39067,36359,42187,40825,36438,41198,39101,49020,40655,40850,47637,44643,42888,38839,37148,41044,39242,46415,46952,50860,54596
Bhiwani,33137,31406,28715,37060,41337,41363,43283,45540,47158,47657,46977,44835,53148,51255,48231,55737,50485,66568,56732,57231,66015,68150,68034,61005,58571,67498,69437,74671,75451,78930,81309
Faridabad,21985,22946,21762,25360,28135,26240,26543,28290,30060,31730,32150,30048,34189,33136,34758,37960,38418,43249,40584,42978,47230,46928,51230,47566,47223,49955,50592,57356,58791,59714,60552
Fatehabad,25591,22565,21269,27785,31061,31985,30817,31079,33766,35988,37048,37687,41325,37411,34316,42354,39113,49323,39925,42046,49072,47726,38687,34202,31584,35151,35334,40060,41440,44735,46947
Gurgaon,22479,21195,20899,27762,30817,29606,29708,31303,34961,39273,38620,36414,41826,42358,43070,45916,46368,52617,52421,53343,59494,59048,58209,56068,55172,57751,57966,65132,66823,69611,73254
Hisar,37685,34178,32500,43628,47571,43762,43870,47776,50678,52081,51131,49393,54977,50554,48814,58810,56903,71753,61981,67038,77536,76456,64459,60213,57367,64075,64842,71938,75257,82125,85590
Jhajjar,18404,15357,15341,20568,22291,22361,21697,22191,25734,29123,28755,26385,29973,28821,27497,32169,31258,40444,37474,38396,46301,45427,48558,42959,39255,45013,46849,53064,54086,56738,58800
Jind,25342,23251,21683,28600,30689,30345,29666,30465,32931,36496,36964,33742,38911,39980,38430,42334,43582,56105,44016,48347,54652,52067,50799,44622,41004,44964,45780,50792,52925,57043,58004
Kaithal,25383,23174,20654,27668,28426,29459,28644,30350,31790,37439,37596,34218,42408,38042,37583,41136,39211,52584,43310,44769,51295,50010,47051,40017,36025,38591,39668,41670,42166,44040,47403
Karnal,34242,32627,29199,39563,42250,45637,43062,44966,48227,52302,52897,49785,55410,55708,50961,50989,51428,67386,58124,57693,69397,68247,72061,60082,56127,60862,62441,66432,65547,68696,73721
Kurukshetra,28156,24404,22776,31149,32637,32967,32195,35213,37466,42757,42249,39430,46001,42042,38254,41947,39898,48531,37009,39261,45464,43391,41711,34961,32320,36216,36214,39154,41437,44138,47089
Mahendragarh,16135,14994,14561,18222,19360,19184,20177,19162,22111,24519,24759,23821,28583,25606,24602,25447,25267,32012,27998,30677,37546,36400,34945,32123,30162,32726,34841,35655,35566,36517,39655
Mewat,8117,7770,7255,10671,11623,10099,10953,10489,12759,13388,12247,12503,14776,13810,13510,15768,15302,20112,19184,20072,23714,25350,33228,28656,27378,32300,35142,41523,43902,47023,48479
Palwal,9060,9648,8502,11225,12466,11013,11551,11762,13195,13979,13393,12705,15825,14689,16915,18379,18416,21326,18863,18997,21659,21723,23845,21116,21024,24421,26423,31280,31307,32588,34337
Panchkula,7427,7412,6862,8883,9861,9646,10410,10452,11310,12663,12379,11911,14263,13858,12886,15859,14594,17549,16272,17175,18997,18128,18910,18844,19167,21218,21760,23045,23008,24764,26645
Panipat,17467,16561,15509,22042,23573,24703,24136,26674,27478,30673,31230,28689,33005,32973,32635,34163,35423,41949,37418,38651,41566,41689,43558,40154,36547,37433,38101,44634,42466,43088,44962
Rewari,13178,12075,12298,15737,17224,17316,18052,17872,20928,23481,22265,21132,23984,22401,22884,24505,24413,29096,27231,28517,34922,35180,32552,30501,29237,31950,33270,34605,35010,37065,39564
Rohtak,15243,13508,12718,16948,18744,17132,19391,20089,22025,24263,23718,22944,24999,25481,23736,27337,27943,35088,30362,31663,36036,35560,37629,31847,27725,32567,34327,37861,39064,41669,43624
Sirsa,36351,32756,30351,39057,44904,42707,40896,41607,44770,47268,50914,52739,63642,57906,50941,54759,52433,76007,63123,68761,80155,75485,59693,58055,53637,59556,58523,63089,61970,67860,74403
Sonipat,24220,20040,19324,26785,28905,28640,28814,31870,35924,38577,37037,35326,40385,41803,39190,45182,45994,55777,47155,49940,57619,56767,58826,52995,50337,55336,56202,63292,60832,63235,66495
Yamunanagar,14968,14172,13324,17601,18393,20059,19090,20220,21621,24396,24368,22150,25042,24622,22362,25706,23827,28440,24184,24159,28262,27336,27221,24933,23559,28364,28064,32288,30752,32772,34293
Bilaspur,4383,4464,4137,5814,6859,6280,7627,9539,10848,11487,12379,11529,14109,12924,12930,15281,13784,14700,13396,14037,16212,15634,13796,13784,13147,15230,15113,15683,15424,17408,19006
Chamba,1377,1374,1038,1769,2012,1479,2351,2731,4321,4066,4707,4457,5852,5239,5197,8060,6166,5949,6577,7288,7658,8166,26169,26662,30065,65999,63215,62193,27150,29137,31888
Hamirpur,2229,2072,1902,3584,4273,3574,5950,7753,9370,9780,10637,10701,12564,10607,10283,11551,10464,12011,10316,11304,12979,12759,11032,11324,10850,12936,13030,13320,11963,13399,14797
Kangra,6387,6573,5816,10087,12727,11825,17170,19853,25183,26017,28521,29048,35924,32384,30420,38274,33871,36462,32797,36232,42651,41327,44533,46860,45065,65931,64965,67886,50878,56355,61041
Kinnaur,0,32,109,826,827,568,1119,1525,1251,1426,1456,1312,1358,1002,1242,2098,1979,1786,3042,3158,2682,2793,14314,15396,11785,60715,59086,60696,14103,14608,18136
Kinnaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,378,156,1120,1070,1120,298,297,292
Kinnaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,959,959,0,0,0
Kullu,891,966,947,1238,2131,2030,2587,4863,5679,5218,5497,5443,7716,6780,7289,10925,7963,6661,8673,9447,10318,11157,22697,22525,22372,55459,54138,53612,23688,25939,28779
Lahul & Spiti,0,0,0,0,28,0,0,0,73,107,55,63,80,0,0,61,138,0,74,96,67,74,4578,5739,3735,131786,128013,130554,6076,8806,10101
Lahul & Spiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,1841,1771,1841,119,126,175
Mandi,3124,3369,2820,3836,5563,4391,6902,9756,12738,12146,15061,16863,20650,17831,17043,24079,19111,20836,19853,21586,24136,23608,30693,31030,29393,42687,42166,42809,34080,39304,43758
Shimla,1726,1881,2109,3829,4879,4559,6642,10532,12502,11931,13037,11790,16768,13940,14891,20062,15390,14667,17424,20028,20156,20533,31531,35676,33758,54004,52510,52418,35442,39729,47312
Sirmaur,2279,2421,2437,3661,4189,4413,5279,7788,8411,10074,9620,8714,14090,12766,12687,18791,15245,13968,15742,14940,18796,18174,22856,24891,21552,32099,31931,33402,24665,29362,34925
Solan,6501,6338,5693,9078,10637,10909,13691,18389,20935,22446,23445,21432,26098,25501,27434,31790,29411,32944,30271,32381,36273,33864,31363,31113,30087,34587,34563,37531,35626,39675,43918
Una,4460,3624,3347,5695,5965,6835,8381,10220,12368,12912,13532,14680,16528,15291,15945,18134,16501,17416,16843,17205,21814,20046,17864,17875,17639,20640,20925,22524,21875,23554,25171
Anantnag,0,118,0,68,206,202,246,136,331,328,278,608,853,1378,988,2747,1628,1353,1754,2848,5404,4435,16959,16921,17366,30792,28593,30695,17495,19410,23063
Badgam,381,693,555,594,1004,1558,1599,1073,1663,1847,1776,1820,2492,2565,2827,3800,2757,3771,4869,4563,5882,5717,12779,13089,12989,18606,17628,19302,15849,17792,18594
Bandipore,0,0,0,0,0,0,147,0,0,0,0,0,52,159,72,221,138,88,637,1094,1380,1419,6625,6160,6994,25745,24793,25855,6378,8407,8560
Baramulla,849,1741,1691,2291,1688,620,2503,625,1521,1361,1148,1779,2477,3804,3346,6081,4280,3479,5445,4811,7491,8900,25555,26086,26077,32682,28838,32314,29957,32045,34101
Doda,370,339,260,504,732,560,1102,806,1253,1496,1747,1396,1852,2061,1630,3191,1880,1942,2029,2333,2498,2398,17166,17703,17289,28443,25387,28199,19006,20382,22240
Ganderbal,0,41,33,4,34,182,311,116,213,237,48,367,371,1108,1207,1951,1198,1183,1701,1819,2660,2636,10037,9796,9398,15478,14319,15011,11416,13456,14795
Jammu,23755,20984,21456,26331,28227,28952,30263,28093,28760,31269,33288,29623,35605,36352,36355,40325,38243,43679,42498,42266,52443,47848,64498,63791,62353,67080,69388,69089,69232,71329,76584
Kargil,0,0,0,244,189,114,106,72,101,61,187,162,353,477,487,713,1286,1502,1168,1327,1046,1811,8003,14689,7961,146295,141956,146550,16776,22968,27409
Kathua,7828,7622,7311,9306,10022,9888,10783,10834,11842,11850,12330,11616,15767,16362,15489,17917,15947,18015,18554,19497,25867,23071,39673,38357,37506,43746,43183,44201,40843,43124,45055
Kishtwar,1849,1727,1363,1353,1291,1470,1919,1652,1823,1405,1362,1042,1276,1100,1010,1296,652,857,1048,1102,1224,1073,9914,8429,13218,76426,73916,75725,13815,14512,16148
Kulgam,0,0,0,0,0,20,36,0,160,18,9,140,187,351,316,1257,522,603,662,746,2031,1572,7053,7218,6971,14684,13972,14597,7228,8145,9608
Kupwara,0,0,0,0,0,0,1191,0,60,23,0,121,193,611,206,1032,586,202,981,995,1367,1838,16222,15427,17540,29541,26099,29218,19431,21055,23706
Leh (Ladakh),388,393,252,741,795,552,694,867,1003,1077,1127,1664,1863,1701,1801,2394,2294,2682,3036,3032,3333,3379,28409,53575,18941,471070,322521,404477,27365,37303,51764
Poonch,124,190,101,398,628,208,604,443,756,488,532,385,744,1365,1066,2572,1576,1750,4175,3551,5425,4717,16616,16229,16929,22900,21512,22386,19631,21626,23332
Pulwama,158,263,259,419,705,539,1054,740,1271,1203,890,1128,1634,2300,2085,3713,2629,2931,3389,3703,5144,4602,9099,9415,9186,11432,10899,12933,12474,14121,14309
Rajouri,1047,949,707,1933,2637,1288,2528,2440,3013,3211,3153,2463,5565,6289,5326,9498,5981,5853,7661,6422,7971,8699,31020,30558,32190,37417,36829,36922,36964,39225,41609
Ramban,95,62,51,117,247,185,626,374,697,733,950,941,1015,1376,1211,1999,1160,1501,2258,2318,3362,3172,9486,9802,9772,12215,11599,12151,10441,11454,12924
Reasi,2387,2274,2619,3231,3174,2476,3277,3222,3562,3742,3673,3270,4379,5369,4996,6262,4703,5195,5145,4603,7124,6012,18679,18898,19468,27178,27359,27797,22612,24591,26074
Samba,5904,5653,5569,6686,7625,7655,8471,8416,8651,9669,11181,10324,12620,13285,12725,14924,13872,15473,15528,17043,19602,17731,23500,23293,22459,24156,24728,25843,25886,27222,29407
Shupiyan,0,4,12,35,20,32,0,12,78,68,56,49,81,275,138,1416,488,491,721,684,1527,1427,6643,6435,6229,8730,8088,9033,7388,8598,9202
Srinagar,1626,3010,2396,2283,3738,5240,6334,4403,4970,5666,5027,6549,7417,8730,9716,11034,9025,9449,11593,11458,14127,14371,17007,17179,16895,20096,19445,20601,21531,22987,23029
Udhampur,2860,3124,3400,4398,5102,4306,6145,5180,5510,5355,5529,5038,6996,7189,6653,9136,7005,8592,9105,11011,13600,12731,30551,30276,29895,36187,35753,37212,34754,37270,38221
Bokaro,20344,22196,24362,27135,26588,22048,22107,22306,23855,22924,24453,22129,27024,25532,24336,25087,25921,27263,30912,32569,32257,32126,59470,63421,61476,66784,66517,69699,74337,72508,76701
Chatra,782,740,799,1141,1008,1234,1545,1435,1624,1520,1715,1507,1502,1565,1330,1623,1922,1768,1692,1691,1897,2581,13171,16863,17937,36771,38415,39570,37219,39215,43507
Deoghar,910,2166,1736,2616,3319,2528,3104,3993,5279,5212,7163,5753,6564,7418,6150,8164,7994,8359,9425,10294,7992,9213,30151,32610,36465,42902,44100,47697,53835,51928,51378
Dhanbad,30569,32098,31343,35899,34767,30909,29510,30962,33737,32777,35025,31482,35362,34652,32735,35711,36745,38446,40313,40702,43998,44205,64444,66750,65891,69572,69590,72164,74724,72210,74820
Dumka,354,669,628,710,1179,830,892,1187,1370,1841,2351,1832,2608,2146,1610,2518,2276,2723,3579,3578,3024,3133,30845,34326,33528,40275,42050,44465,47014,46900,46982
Garhwa,731,679,701,977,817,670,1014,790,1261,1249,1276,1162,1691,1245,1350,1702,1416,1625,1756,1534,1414,1532,20637,21831,17369,36937,37428,37269,30833,39643,44095
Giridih,2454,3349,3253,4260,3574,2902,3517,3587,3898,4484,5578,4457,5562,6238,5646,6972,6898,6906,6823,7899,7729,7530,40971,42938,44304,58440,59779,63024,66277,70273,72663
Godda,1698,2488,2282,2871,3104,2708,2616,2502,4098,3749,4531,3546,3150,3357,2748,3250,3718,3316,2962,4025,4253,5136,20320,21706,20556,27466,28539,32654,38354,38981,39085
Gumla,182,201,137,470,498,284,635,406,922,503,1099,647,1135,578,645,1062,1007,1140,1199,1362,1574,1590,32492,34678,24044,47833,47792,47162,33460,42151,48098
Hazaribagh,5138,5673,6150,7185,6827,5490,7415,7061,8158,9088,9934,10246,12943,12757,12249,13854,14498,14504,15994,15626,16319,19750,56919,61958,59593,71606,73419,77798,84633,88062,91970
Jamtara,1723,2282,1959,2227,2584,1493,2117,2407,3337,3327,4440,3003,4363,5169,4039,5220,4527,4019,3441,3973,4371,3978,18260,19682,20268,23279,23249,25025,27977,27792,27676
Khunti,317,444,519,660,678,527,849,705,946,623,1313,996,1471,684,665,677,861,1263,1260,1127,918,1098,16343,20943,15950,26351,26648,26970,25043,27519,30903
Kodarma,787,1131,1037,1636,1379,1233,1342,1398,1676,1748,2064,1705,2420,2045,2581,2832,3235,4716,4971,4526,4666,4549,14987,16056,15698,18961,19020,21405,22019,22156,22092
Latehar,229,264,270,290,249,309,453,275,511,395,749,541,630,453,237,492,585,860,2018,2600,2948,2498,26400,27531,23131,38484,37525,40188,33014,40312,45610
Lohardaga,126,269,144,563,421,392,548,516,642,460,809,572,813,642,458,676,615,1506,1506,1789,3012,2741,13252,13646,12726,16595,16965,17290,16900,17886,19396
Pakur,429,618,641,808,891,730,889,1077,1177,1069,1384,1256,1699,1547,1469,1671,1931,2320,2004,2327,3088,3217,14778,16168,15573,19923,19698,21290,21439,22253,22921
Palamu,861,789,903,1147,1030,1294,1646,1409,1867,1833,2577,2092,2564,2542,2335,3873,3691,4570,4809,5473,5339,5505,34115,36055,35208,47369,49322,51608,53438,58825,61208
Pashchimi Singhbhum,3022,3998,3841,5290,5145,4308,4862,5000,5996,4369,5675,5514,8406,7173,6618,9732,8922,12018,16073,14010,15855,15170,62060,67156,60974,78835,78620,74801,72290,84959,84654
Purbi Singhbhum,11900,12871,13328,14961,16188,13508,15034,15641,15891,13894,18372,15687,21834,20299,18869,21907,20782,23033,20920,24861,23109,24422,49664,52469,50370,56655,59213,59289,62696,62035,62210
Ramgarh,11069,12466,11995,14097,13757,12497,11760,12807,12624,13560,14676,13682,17630,15472,14447,15684,16275,19673,20536,20295,21266,20984,34143,36343,34756,37966,37603,37572,40326,39738,43051
Ranchi,8456,9071,8729,13312,12893,11868,13434,13357,15620,14305,17966,17684,21762,20754,21620,25729,26742,28486,30025,29252,30052,32220,69406,75073,74979,86288,88763,89543,97407,101099,105244
Sahibganj,979,1080,1390,1381,1246,733,892,916,1439,1118,1617,1020,1478,1620,1059,1646,2204,2121,2430,2724,3641,6426,19769,20611,20983,25262,25981,28299,30038,30638,31440
Saraikela-kharsawan,5876,5409,6013,7577,7437,6335,6930,7681,9430,7191,9765,9832,12427,11802,12659,15416,13998,15247,17150,18950,20835,18363,35948,38539,36293,42312,44397,46601,49756,50637,51655
Simdega,378,345,333,549,489,358,560,478,789,509,662,495,581,667,668,986,895,900,801,611,968,737,11332,19091,10241,30678,31664,26982,20934,30163,30198
Bagalkot,16125,18042,23276,23296,28768,29918,37644,37622,39678,44086,45042,45761,51782,47948,45078,56243,59612,60624,56691,65170,67086,65150,62709,68118,66158,73830,77338,81841,82351,86408,93714
Bangalore,47600,47481,50034,58463,61817,62660,64884,71475,75177,78551,80805,82942,84985,87216,89294,95282,91797,95233,103976,107282,113021,114313,115082,117766,118318,121326,123775,130734,131028,133543,137749
Bangalore Rural,13225,14012,15617,19642,21636,21747,24188,26645,27586,29533,29591,31458,33634,34368,34344,39121,37235,40778,44193,45819,50549,49365,51080,53223,52670,58250,60412,69154,71054,76248,83053
Belgaum,44051,51228,53579,60066,64296,59323,85685,89258,98306,104328,101048,99139,99221,96061,91477,114222,119405,124814,111376,132375,140265,127056,122750,134064,128503,147598,153869,164212,164455,166696,186222
Bellary,11285,21799,24382,31806,36496,37043,46904,45087,51867,48364,51982,49779,56793,59821,55826,71233,68349,73450,73519,76269,82238,66742,101232,104252,99311,109199,110664,116716,116064,121773,131510
Bidar,11156,20678,24004,26797,26777,26263,32197,35380,37576,34040,32950,34638,38685,37133,33025,41912,39563,44112,41359,46012,53089,49092,56841,61228,56498,64076,68512,69042,66838,70706,78493
Bijapur,12544,12776,24075,24860,33062,28835,40756,46428,42628,49142,48052,39782,50324,52752,45899,56423,56234,53684,54446,63493,67320,73512,86700,96662,94908,106768,108928,113897,113252,116360,126831
Chamrajnagar,8248,10097,11247,13359,13099,13442,16242,16964,18092,20355,21315,18728,25762,23745,22051,28779,24499,27361,26428,28435,29490,26194,46539,47662,41075,51170,50322,55851,52592,52886,54898
Chikballapura,13452,16553,16711,23441,25366,24460,28410,29123,29822,31259,31799,34317,38949,36343,33404,38262,35458,40392,40658,41862,46355,41861,48119,49744,47452,53257,55896,60669,60407,62538,70166
Chikmagalur,3265,9963,10279,11767,11795,9377,22275,18922,22948,19001,17434,14973,20142,22100,19038,23746,15332,15326,22692,26300,31852,24317,42743,50345,46072,60163,63267,63712,55457,57511,66800
Chitradurga,9077,13345,15395,20567,26715,23194,35965,32347,42863,36108,41387,39614,47788,46460,42319,52919,47017,59058,57100,57527,69425,52838,79854,83402,79851,90162,92012,95371,94757,105048,116667
Dakshina Kannada,9541,13348,15214,21124,21983,18582,28623,27381,30091,30029,30211,30129,32716,31766,27891,30499,29620,32400,33614,40357,42659,39245,36861,42826,38244,51744,51992,55285,49750,53152,57252
Davanagere,11379,17531,19233,25888,23919,22515,34712,31729,41855,38605,39543,37263,45053,43765,37387,47348,46232,53057,47844,50581,58874,47529,65714,69387,68607,77004,79020,82923,83373,92422,102561
Dharwad,10218,14991,15954,19249,19604,18536,25440,25853,27649,28121,27741,29257,32976,32243,29714,34588,32748,38959,35046,36989,40522,40176,45360,47701,47038,52339,55088,58605,58795,61790,67797
Gadag,4407,6543,8157,9451,10204,11383,16456,15863,19593,17473,16126,19779,21520,23180,18985,23051,23335,25622,24908,23838,26125,24250,40086,43232,41470,46184,47719,50093,49774,51634,56247
Gulbarga,18402,28378,34684,41876,44232,40646,51106,63203,62235,59443,62686,55339,63590,63874,58456,72267,66717,67193,73419,86365,93248,95375,113746,117999,111716,124106,127009,128518,124103,129427,139170
Hassan,6306,13871,14854,22577,22187,19893,31463,31061,33898,36140,35694,38272,44262,43204,42587,51131,47428,55522,48849,51939,57866,49393,66062,67585,65212,77292,79072,84223,88393,96943,105946
Haveri,7054,12364,14492,20086,18374,18801,26592,27201,31434,31104,28871,32829,35283,32563,29724,36256,35076,39571,33692,36211,40595,38617,45616,47412,44902,51248,53101,56747,57005,62416,71798
Kodagu,1736,2563,4611,5976,4997,4157,8170,8523,8940,6891,7078,6462,7596,6981,6043,5415,4948,4804,9011,9749,10822,8291,15198,20324,14943,26904,29300,27323,20189,20629,27089
Kolar,17409,19072,20121,25752,28885,28048,30762,33345,35393,36050,37498,39860,45831,44196,42542,47660,42471,50010,50376,49185,53352,51434,56265,59781,56599,64469,67535,77372,79594,84137,93159
Koppal,12466,16870,19649,22785,25040,25591,30560,29544,32390,31118,32903,32414,33981,33830,30140,36995,35248,37069,36008,38305,45349,38152,55810,57991,55516,61440,62310,65276,64716,67513,73190
Mandya,15908,19564,23032,27247,24980,25863,32710,35190,37919,41273,42828,46416,51174,47036,47592,55500,54164,56488,50306,54408,57194,50771,56984,60334,56447,64534,64875,70500,72675,78380,84714
Mysore,18387,20640,25260,31447,29082,27740,34587,35290,39430,41717,42361,46409,53821,48534,49047,60297,58986,65240,62192,66740,69074,63138,78254,81102,74023,83798,82905,87633,85237,89515,96183
Raichur,11822,19207,25356,26700,32249,30551,39616,40128,41652,39298,47813,40823,47179,45912,39111,54444,51275,56807,53916,55779,64829,57849,85906,89563,86413,94352,95395,98341,96030,97510,103895
Ramanagara,12126,15617,17380,20616,20500,20531,23651,25823,27276,29885,31324,30243,36489,33794,31315,36508,35754,41024,40313,41879,45172,43317,46785,49432,45888,52998,55169,62355,62758,66312,69642
Shimoga,4592,9280,9005,13043,12592,9754,19134,14269,23512,17486,17608,14576,25937,22857,16768,22463,20829,25264,22672,30021,35267,27789,34995,48957,37696,63294,64750,61499,54044,59900,67799
Tumkur,26966,37508,37247,48963,52940,51848,60533,60319,66592,69890,70110,69984,80585,74036,68339,83566,70822,86635,86048,88793,101810,91882,107423,114937,109326,124678,128030,138401,140594,149794,160138
Udupi,6255,10250,9662,10286,11731,10867,16415,15210,18897,16924,17257,16481,18380,19136,15180,18801,19208,21611,20947,24990,27953,26153,23514,28188,24395,33623,33980,34635,31658,33435,36807
Uttara Kannada,6088,11249,11526,15213,13172,11538,22653,18852,23386,20670,19544,21942,29715,27647,19025,22918,20287,27960,20787,24759,28507,30224,38133,48771,40470,66306,70002,67972,56104,58001,68251
Yadgir,5570,7409,12354,13901,15009,12329,20034,23816,21948,20455,25564,17557,21231,21357,20280,27058,23753,25588,29091,33803,38445,37807,49941,52795,50265,55232,57070,58676,55464,56572,59855
Alappuzha,14306,14979,14891,17172,16724,15796,16677,18345,19838,19716,20786,19707,22289,19836,19787,20864,18788,19959,20647,19001,21366,21011,14275,15189,14306,16768,17679,21052,20494,25062,27917
Ernakulam,28742,30962,29483,36873,36062,34500,37731,39575,42104,42340,44662,41040,47470,45136,43826,48177,45281,47097,48669,47803,49979,51371,39479,41794,41172,47628,47635,54794,51257,58523,61254
Idukki,5588,11881,10605,13226,11866,8079,17183,15242,17816,17739,18453,13252,27590,18806,14422,20882,16353,20228,20103,18620,23655,24390,29600,31162,28141,35349,33482,36928,36206,33703,36319
Kannur,10161,10782,10431,13217,11990,11576,19882,19991,21865,21279,22182,21503,24490,22807,21028,23464,20543,21811,21871,23650,24746,24403,12989,17382,13654,24162,24226,28355,26845,28374,32533
Kasaragod,3343,5090,5783,6995,6445,6001,10948,10739,12002,11848,12505,12129,13227,12847,11213,12787,11872,12400,13379,15002,15540,14359,8966,11149,9466,16829,16896,19265,17846,19272,22308
Kollam,18543,20094,19161,23279,21498,18774,21587,23578,26047,26454,28204,27176,32491,29967,29951,32472,27403,31981,31428,28947,33100,33245,22410,24537,23042,27896,29663,34855,34189,38113,42077
