Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Upper Subansiri,0,0,32,0,16,0,0,0,0,17,0,0,40,61,114,156,146,101,154,168,208,233,3856,5927,3763,16757,23014,8608,2807,3598,5001
West Kameng,202,123,397,315,497,530,475,766,563,512,724,356,806,585,707,1063,867,863,1361,1137,1154,1046,12611,15696,10786,23372,29172,18226,14108,16189,19466
West Siang,28,0,40,49,95,142,82,124,96,134,135,60,148,92,134,216,258,265,337,284,436,407,6970,8644,4915,16205,21804,11827,6819,8417,12309
Baksa,978,631,631,462,1020,706,880,1353,1013,644,1313,685,2281,1768,1415,2474,2906,1971,2780,2755,2426,1333,19697,21731,19104,23188,24072,24419,22745,24294,25292
Barpeta,2800,1903,2293,2802,3913,2685,3148,3481,3243,2773,2831,2238,3752,3385,2730,3947,4618,4380,4865,5267,5051,4201,17512,19899,18084,22038,22827,23138,22727,25344,27871
Bongaigaon,1390,1056,1200,1246,2681,1836,2551,3009,3002,2293,2569,1442,2908,2699,2814,3595,3731,4345,4365,4991,4567,3665,10559,11533,10777,12425,12734,13039,13269,14268,15284
Cachar,6027,6127,5340,5777,7015,7772,8694,9694,8925,7491,9019,5618,8015,6438,6044,9544,9358,8078,8680,9827,9648,10514,29455,33017,23927,32512,33830,35923,36503,35967,38478
Chirang,2299,2063,1906,2235,3596,2986,2895,3013,3263,3170,3203,2858,3430,3458,3072,3708,3733,3992,4036,4529,4904,4723,11337,11755,10006,14363,13408,14986,14671,14574,14922
Darrang,2202,1433,1858,2017,2891,2483,2949,3389,2953,2335,2612,2209,4055,3879,4005,4521,4552,4500,5562,5936,6702,5425,13598,16018,15104,18033,18254,18962,17800,19405,20767
Dhemaji,96,40,94,109,257,196,156,222,172,320,290,246,608,819,808,965,1080,1052,1548,1667,1500,1259,11635,16880,9379,20156,20895,19979,16984,17264,20822
Dhubri,1546,1049,1156,1907,1885,2249,2319,2633,2704,1908,2641,1392,2766,2756,3156,4023,4117,2855,4592,3793,3750,2938,20734,24744,24660,29514,30875,31662,32170,33973,36262
Dibrugarh,25222,33556,40240,38958,35331,41001,40195,35378,41425,39578,37702,40878,46175,45504,36829,35469,34470,39888,37598,38401,43244,43723,63060,70704,65884,65809,60250,61164,63358,64508,70040
Dima Hasao,835,1662,1944,2291,1800,1317,1747,3213,2156,2427,2238,1405,2109,2137,2317,4021,3247,3981,3946,2934,4277,4006,32694,34874,16954,24930,28737,23509,17869,18076,21400
Goalpara,1305,2563,2940,3569,2673,3349,3968,5512,3712,2776,2498,1325,2444,2840,2493,5264,6294,8379,10284,7831,9902,8943,19668,22038,21097,23905,24163,24302,24818,26877,27681
Golaghat,3093,5120,4550,5811,9945,10181,11048,12617,15159,16263,16677,13150,15984,14724,11544,14953,13488,13713,16223,18933,21309,20579,37721,40800,37298,46170,45576,49417,48617,52464,54397
Hailakandi,2224,2235,1723,2017,2363,2669,2896,3468,2885,2253,2755,1653,2371,2073,2033,2840,2914,2351,2663,2788,2121,1930,11271,14021,9153,12213,12545,13433,12619,12586,13313
Jorhat,4839,5296,5449,6065,7891,7993,7129,7592,8985,9028,8331,6812,9264,8289,7711,9495,9201,9208,10841,11930,12475,11676,23371,27059,23108,29354,30452,31345,27520,30615,33637
Kamrup,8477,7662,8613,9075,9989,9549,10181,11739,11451,10243,10965,8878,12339,12253,12625,15701,15564,16978,17253,18236,21855,21297,37229,39601,35694,41437,42558,45421,45246,48306,52257
Kamrup Metropolitan,8411,8215,9016,10336,10876,11052,10944,11626,11307,11754,12925,11603,13651,13985,13768,15401,15021,16382,16315,17962,17350,18278,18965,19895,18403,19847,20113,22451,22411,24121,25571
Karbi Anglong,2567,3220,2915,3578,4591,4230,4234,5364,5292,5097,5562,3099,4717,5651,5063,6454,6512,6620,9220,8325,11237,9539,73102,70105,42788,63635,69099,61416,57824,65035,65743
Karimganj,2627,2717,2274,2890,3322,4473,4563,5703,4268,3540,4400,2187,3678,2257,1948,3388,3094,3064,3429,3624,3559,3116,16098,17734,15075,19360,20269,20847,20753,22190,22092
