Dist Name,2007 (2004),2008 (2004),2009 (2004),2010 (2004),2011 (2004),2012 (2004),2013 (2004)
Rajgarh,22157,21776,25443,29681,33536,38618,45390
Rajkot,197860,203591,221796,238289,265084,291254,323721
Ramananthapuram,36080,36058,38937,42525,43650,44633,45906
Rampur,30655,32564,33859,36453,38091,39793,41440
Ranchi,89155,83218,94088,107961,118737,127809,137451
Ratlam,32064,35901,38490,37850,41414,45867,51823
Ratnagiri,68959,69413,73852,81887,78729,83411,90168
Rewa,29317,32427,34658,37535,41003,44052,47528
Rohtak,49207,52439,58029,61432,65123,69052,74106
Roopnagar / Ropar,19664,20666,21889,22417,24973,25971,26731
S.P.S. Nellore,104671,114225,117288,129822,140036,149210,157682
Sabarkantha,74298,78012,88520,95139,104414,110994,123152
Sagar,39146,43522,47379,50352,55862,60134,65023
Saharanpur,82130,92286,94160,98942,109362,115313,120579
Saharsa,17116,19686,20142,24208,26269,30147,32399
Salem,118316,121999,138745,153654,161645,165815,173074
Sambalpur,37997,40365,43305,46949,47781,50463,51815
Sangli,89798,86433,96674,103415,104660,108860,116408
Sangrur,61569,64417,62610,66870,71639,74975,77091
Santhal Paragana / Dumka,11879,11020,12031,13736,15109,16543,18429
Saran,31969,35272,38031,43711,48372,54941,58952
Satara,98105,95240,105067,112800,117020,121130,129420
Satna,41527,46252,49953,52789,55637,60300,64718
Sehore,21612,23893,26843,26716,29369,32790,37388
Seoni / Shivani,17734,19642,20870,23294,25414,28007,30952
Shahdol,14284,14819,15820,16845,17643,19271,20211
Shahjahanpur,43969,47832,50902,56792,59869,60888,63283
Shajapur,25728,28680,32563,34070,37809,43123,50677
Shimla,40991,42627,46180,48316,50792,52848,55110
Shimoge,52809,53559,57159,64319,64552,66344,68074
Shivpuri,23430,25670,27991,28699,31288,34424,38347
Sibsagar,58909,56822,54489,59029,61766,64949,68187
Sidhi,13031,14523,15541,16613,17406,18953,20087
Sikar,51450,54467,56264,63576,66565,68951,71736
Singhbhum,74764,64000,70458,79327,82022,85526,89804
Sirohi,32923,34432,35306,37009,37154,37782,38501
Sitapur,47368,52124,53672,55777,59314,62411,64748
Solan,43325,47839,55265,60213,62226,65570,69025
Solapur,135093,137981,156702,166997,176672,188569,204837
South Arcot / Cuddalore,67796,68983,77413,88517,96136,98196,101120
Srikakulam,75697,80802,88707,103013,110276,118329,125574
Sultanpur,41994,45688,52865,58837,62778,66444,69477
Sundargarh,87942,95729,98595,103782,107073,114990,121538
Surat,288255,315912,367992,405205,446398,494005,554131
Surendranagar,72066,74039,74608,78661,85440,90720,99705
Surguja,31548,32609,32872,39225,39789,42396,45011
Swami Madhopur,22795,24705,23294,26833,28927,30900,32866
Tehri Garhwal,16164,17789,20637,23224,25002,27369,30132
Thane,526866,565591,643474,718909,768402,851449,944648
Thanjavur,66508,67282,74037,81158,85510,86605,90032
The Nilgiris,47441,47061,49276,52052,52515,50829,51314
Thirunelveli,104284,107420,119053,131968,140303,141701,147801
Thiruvananthapuram,202574,213178,226040,242129,268221,288077,310724
Thrissur,136832,143415,155134,166628,176878,192516,212397
Tikamgarh,15201,16340,17219,18655,20499,22334,24612
Tiruchirapalli / Trichy,108176,112328,124413,135996,144068,146554,152603
