District,Predicted_GDDP_2020
Rajouri,496662.0968519056
Ramban,244352.1713803216
Reasi,370216.8623059607
Samba,395758.4042908522
Shupiyan,317177.5142266158
Srinagar,369486.00912672275
Udhampur,535685.0037739635
Bokaro,906452.4954187443
Chatra,604728.6576859028
Deoghar,695453.6299207722
Dhanbad,886069.4629589111
Dumka,576842.4417363163
Garhwa,440046.3743323759
Giridih,804888.74974825
Godda,530434.580310543
Gumla,525437.615095966
Hazaribagh,1158782.0013986502
Jamtara,413807.2635341932
Khunti,415318.2256172953
Kodarma,371444.13066431525
Latehar,505753.579710403
Lohardaga,303935.08313850523
Pakur,368514.49020305177
Palamu,679287.803855527
Pashchimi Singhbhum,876994.6165327965
Purbi Singhbhum,818646.3927008173
Ramgarh,552795.8173551
Ranchi,1060654.0181855417
Sahibganj,474751.14718916616
Saraikela-kharsawan,625807.6162612546
Simdega,381670.34696394455
Bagalkot,949651.4164914467
Bangalore,1291820.9925055485
Bangalore Rural,1076473.7488657678
Belgaum,1836104.1609688613
Bellary,1142321.6302373114
Bidar,840234.584111819
Bijapur,1196200.0698175721
Chamrajnagar,636805.703971217
Chikballapura,817481.332589374
Chikmagalur,718071.9165330533
Chitradurga,1039812.7045724853
Dakshina Kannada,625784.9702718036
Davanagere,983645.3369874923
Dharwad,765511.2554185459
Gadag,626421.4035427393
Gulbarga,1197602.1876336506
Hassan,1401289.1780442484
Haveri,662653.1271320559
Kodagu,372659.6350857252
Kolar,1212932.9392751965
Koppal,820268.2364591464
Mandya,979270.2358276459
Mysore,1008440.4313848374
Raichur,1043837.268727848
Ramanagara,832802.1009274718
Shimoga,678796.1472362588
Tumkur,1470854.2079093766
Udupi,449058.58529370744
Uttara Kannada,690811.11252638
Yadgir,701208.3833526685
Alappuzha,366140.94187682937
Ernakulam,624184.6262980056
Idukki,574680.143443681
Kannur,408360.7670384207
Kasaragod,316545.5334055546
Kollam,532950.9198590191
Kottayam,423524.2228834269
Kozhikode,374826.2447132442
Malappuram,543522.6649099378
Palakkad,573749.8452988659
Pathanamthitta,378510.2889711577
Thiruvananthapuram,576304.038197036
Thrissur,575181.0107154105
Wayanad,472653.13760391035
Lakshadweep,57655.268612166496
Agar Malwa,542543.770317461
Alirajpur,529124.9730158722
Anuppur,437025.2807018545
Ashoknagar,739868.4149367734
Balaghat,958325.8913021897
Barwani,688628.0239182172
Betul,1081792.233284487
Bhind,945892.7555131206
Bhopal,906306.2396075911
Burhanpur,406376.05827298784
Chhatarpur,1146970.2509733227
Chhindwara,1044399.6441325502
Damoh,949619.420113779
Datia,566114.4071618897
Dewas,1061185.6452131586
Dhar,1126323.2848874016
Dindori,586935.1178524118
East Nimar,820045.2241775617
Guna,1079930.6131465363
Gwalior,1007205.9774868618
Harda,529575.1828954426
Hoshangabad,962969.6875265659
Indore,1104975.289987365
Jabalpur,952720.5990872585
Jhabua,587720.5079740279
Katni,964559.653462665
Mandla,787650.1679603631
Mandsaur,909925.6913047248
Morena,952726.853335692
Narsimhapur,909714.3287365147
Neemuch,615883.5214600893
Panna,820560.8405442555
Raisen,1145702.0618601057
Rajgarh,1086823.2670587574
Ratlam,934762.690943886
