District,1992_GDDP_Predicted,1993_GDDP_Predicted,1994_GDDP_Predicted,1995_GDDP_Predicted,1996_GDDP_Predicted,1997_GDDP_Predicted,1998_GDDP_Predicted,1999_GDDP_Predicted,2000_GDDP_Predicted,2001_GDDP_Predicted,2002_GDDP_Predicted,2003_GDDP_Predicted,2004_GDDP_Predicted,2005_GDDP_Predicted,2006_GDDP_Predicted,2007_GDDP_Predicted,2008_GDDP_Predicted,2009_GDDP_Predicted,2010_GDDP_Predicted,2011_GDDP_Predicted,2012_GDDP_Predicted,2013_GDDP_Predicted,2014_GDDP_Predicted,2015_GDDP_Predicted,2016_GDDP_Predicted,2017_GDDP_Predicted,2018_GDDP_Predicted,2019_GDDP_Predicted,2020_GDDP_Predicted,2021_GDDP_Predicted,2022_GDDP_Predicted
Baleshwar,158142.77977658552,219108.66102344904,233709.96247287688,241654.61288758856,241654.61288758856,241654.61288758856,323933.4020422347,374574.98399223364,349081.87015022634,241654.61288758856,349081.87015022634,323933.4020422347,368006.2478726287,376760.9866539024,339492.6966680354,368006.2478726287,339492.6966680354,339492.6966680354,339492.6966680354,368006.2478726287,368006.2478726287,368006.2478726287,567609.2008423703,567609.2008423703,560028.3941262603,595188.5401727818,690539.2991887387,623394.1083949166,623394.1083949166,637020.4449788313,862231.2769874998
Solapur,824831.5270238817,906813.949993926,906813.949993926,920229.9973212355,987670.8934172259,1019377.464924277,1019377.464924277,1019377.464924277,1391554.591706272,1265920.8546345101,1148924.3753200665,1031502.07927281,1114397.8592062166,884806.65505422,973445.6824819329,1076723.1145272707,1031502.07927281,1148924.3753200665,984113.497015111,1362283.8434763127,2592046.7138715596,1586075.6194468746,3127113.88387156,2923523.2631964707,2923523.2631964707,3558526.1922292737,3558526.1922292737,6052447.9059262695,6052447.9059262695,6052447.9059262695,7213368.5730332965
Rudraprayag,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,64778.348599312056,64778.348599312056,64778.348599312056,39303.80468026484,64778.348599312056,68821.03195806642,39303.80468026484,64778.348599312056,64778.348599312056,64778.348599312056,40643.74304635062,71523.38804808594,71523.38804808594,84207.14707555683,71523.38804808594,233709.96247287688,241654.61288758856,288442.7184709439,267748.7609663321,241654.61288758856,241654.61288758856,439986.4724469204,241654.61288758856,241654.61288758856
Datia,439986.4724469204,241654.61288758856,241654.61288758856,323933.4020422347,323933.4020422347,374574.98399223364,403741.98297757463,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,219108.66102344904,233709.96247287688,219108.66102344904,304204.9027872174,241654.61288758856,452428.54598634,403463.41739346687,453917.34768034617,572596.051406564,539084.2905274781,575847.0456870422,560028.3941262603,567609.2008423703,567609.2008423703
Goalpara,71523.38804808594,105783.49409003084,131261.79494679812,145906.93815578273,131261.79494679812,145906.93815578273,158142.77977658552,219108.66102344904,140071.73411742813,131261.79494679812,105783.49409003084,71523.38804808594,105783.49409003084,131261.79494679812,105783.49409003084,219108.66102344904,219108.66102344904,241654.61288758856,241654.61288758856,233709.96247287688,241654.61288758856,241654.61288758856,349081.87015022634,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,376554.85293565236,403463.41739346687,403463.41739346687
Dausa,403741.98297757463,323933.4020422347,339492.6966680354,394905.39061809675,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,376554.85293565236,403463.41739346687,376554.85293565236,403463.41739346687,453917.34768034617,403463.41739346687,403463.41739346687,427036.1972800199,557032.2955830402,595188.5401727818,575847.0456870422,575847.0456870422,802806.9279257131,882798.850977985,867307.5598888618,3179837.923649339,805726.7962868309,869554.8065328378,943884.6986487402,936918.286899739,869554.8065328378,926095.2569868355,959090.0326358714
Madhepura,40643.74304635062,64778.348599312056,61500.507499168925,64778.348599312056,68821.03195806642,68821.03195806642,84207.14707555683,84207.14707555683,84207.14707555683,84207.14707555683,145906.93815578273,84207.14707555683,91372.68775484338,105783.49409003084,105783.49409003084,145906.93815578273,158142.77977658552,91372.68775484338,131261.79494679812,131261.79494679812,131261.79494679812,241654.61288758856,349081.87015022634,368006.2478726287,403463.41739346687,453917.34768034617,557032.2955830402,572596.051406564,539084.2905274781,539084.2905274781,539084.2905274781
Fatehabad,403463.41739346687,368006.2478726287,368006.2478726287,403463.41739346687,453917.34768034617,453917.34768034617,453917.34768034617,453917.34768034617,557032.2955830402,557032.2955830402,542126.2007856356,539084.2905274781,560028.3941262603,521691.8432132527,557032.2955830402,567609.2008423703,539084.2905274781,690539.2991887387,570453.6510764295,567609.2008423703,595188.5401727818,595188.5401727818,539084.2905274781,557032.2955830402,453917.34768034617,557032.2955830402,557032.2955830402,570453.6510764295,560028.3941262603,575847.0456870422,727650.655110249
Bundi,241654.61288758856,323933.4020422347,323933.4020422347,349081.87015022634,349081.87015022634,349081.87015022634,376760.9866539024,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,376760.9866539024,403463.41739346687,368006.2478726287,349081.87015022634,368006.2478726287,368006.2478726287,403463.41739346687,403463.41739346687,403463.41739346687,453917.34768034617,403463.41739346687,855402.06538646,840873.155357215,855402.06538646,885678.8748888618,1038023.6686553545,869554.8065328378,906813.949993926,805726.7962868309,959090.0326358714
Ghazipur,396488.10516660294,349081.87015022634,349081.87015022634,368006.2478726287,396488.10516660294,241654.61288758856,323933.4020422347,219108.66102344904,241654.61288758856,323933.4020422347,241654.61288758856,158142.77977658552,439986.4724469204,219108.66102344904,439986.4724469204,241654.61288758856,219108.66102344904,219108.66102344904,403741.98297757463,403741.98297757463,323933.4020422347,241654.61288758856,560028.3941262603,560028.3941262603,595188.5401727818,881205.6101966847,1246167.746851557,789467.8785424769,862249.2673075555,805726.7962868309,936918.286899739
Koppal,241654.61288758856,323933.4020422347,349081.87015022634,368006.2478726287,497745.5011171107,403463.41739346687,453917.34768034617,493444.78031018935,427036.1972800199,453917.34768034617,557032.2955830402,427036.1972800199,557032.2955830402,557032.2955830402,453917.34768034617,542126.2007856356,557032.2955830402,542126.2007856356,557032.2955830402,539084.2905274781,575847.0456870422,539084.2905274781,637020.4449788313,802806.9279257131,641508.2045567842,862231.2769874998,855402.06538646,938583.3652837642,838350.9598388991,910492.7646623688,1171327.9167044114
Dibrugarh,420187.16814314673,557032.2955830402,570453.6510764295,539084.2905274781,557032.2955830402,560028.3941262603,570453.6510764295,557032.2955830402,560028.3941262603,539084.2905274781,539084.2905274781,560028.3941262603,565378.0035950973,575847.0456870422,572596.051406564,557032.2955830402,557032.2955830402,570453.6510764295,539084.2905274781,539084.2905274781,567609.2008423703,567609.2008423703,824831.5270238817,905327.1384546497,881205.6101966847,881205.6101966847,882798.850977985,882798.850977985,824831.5270238817,892610.5932916175,885678.8748888618
Lower Subansiri,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,40643.74304635062,39303.80468026484,40643.74304635062,64778.348599312056,40643.74304635062,39303.80468026484,39303.80468026484,39303.80468026484,64778.348599312056,64778.348599312056,64778.348599312056,68821.03195806642,64778.348599312056,64778.348599312056,71523.38804808594,68821.03195806642,68821.03195806642,64778.348599312056,241654.61288758856,241654.61288758856,241654.61288758856,374574.98399223364,403741.98297757463,267748.7609663321,241654.61288758856,241654.61288758856,241654.61288758856
