NAME_2,Sum_of_Lights_2015
Nicobar Islands,2886.0
North and Middle Andaman,8289.0
South Andaman,7931.0
Anantapur,171366.0
Chittoor,158948.0
East Godavari,126663.0
Guntur,130796.0
Krishna,100699.0
Kurnool,159666.0
Nellore,138118.0
Prakasam,161919.0
Srikakulam,60670.0
Visakhapatnam,122502.0
Vizianagaram,50525.0
West Godavari,79196.0
Y.S.R.,128555.0
Anjaw,1233.0
Anjaw,4011.0
Changlang,13813.0
Dibang Valley,2371.0
East Kameng,6745.0
East Siang,5849.0
East Siang,5604.0
Kurung Kumey,3098.0
Lohit,7915.0
Lohit,0.0
Longding,3446.0
Lower Dibang Valley,3872.0
Lower Dibang Valley,389.0
Lower Subansiri,10626.0
Namsai,3667.0
Papum Pare,21092.0
Tawang,3828.0
Tirap,5621.0
Upper Siang,3076.0
Upper Subansiri,5927.0
West Kameng,15696.0
West Siang,8644.0
Baksa,21731.0
Barpeta,19899.0
Bongaigaon,11533.0
Cachar,33017.0
Chirang,11755.0
Darrang,16018.0
Dhemaji,16880.0
Dhubri,24744.0
Dibrugarh,70704.0
Dima Hasao,34874.0
Goalpara,22038.0
Golaghat,40800.0
Hailakandi,14021.0
Jorhat,27059.0
Kamrup,39601.0
Kamrup Metropolitan,19895.0
Karbi Anglong,70105.0
Karimganj,17734.0
Kokrajhar,28283.0
Lakhimpur,23926.0
Morigaon,14989.0
Nagaon,43123.0
Nalbari,9452.0
Sivasagar,41557.0
Sonitpur,48667.0
Tinsukia,71204.0
Udalguri,21600.0
Araria,29858.0
Arwal,8250.0
Aurangabad,40913.0
Banka,30601.0
Begusarai,29337.0
Bhagalpur,38618.0
Bhojpur,29831.0
Buxar,19851.0
Darbhanga,28746.0
Gaya,66433.0
Gopalganj,22413.0
Jamui,26199.0
Jehanabad,15047.0
Kaimur,27584.0
Katihar,31410.0
Khagaria,14050.0
Kishanganj,21507.0
Lakhisarai,14349.0
Madhepura,23030.0
Madhubani,38327.0
Munger,17616.0
Muzaffarpur,42594.0
Nalanda,39006.0
Nawada,25865.0
Pashchim Champaran,42752.0
Patna,74112.0
Purba Champaran,39934.0
Purnia,37535.0
Rohtas,45243.0
Saharsa,21811.0
Samastipur,33052.0
Saran,35824.0
Sheikhpura,7454.0
Sheohar,5761.0
Sitamarhi,20770.0
Siwan,23013.0
Supaul,28298.0
Vaishali,31666.0
Chandigarh,9352.0
Balod,26349.0
Baloda Bazar,64438.0
Balrampur,43805.0
Bastar,43155.0
Bemetara,37422.0
Bijapur,47157.0
Bilaspur,91907.0
Dantewada,23383.0
Dhamtari,35621.0
Durg,59664.0
Gariaband,30609.0
Janjgir-Champa,71307.0
Jashpur,47688.0
Kabeerdham,48371.0
Kondagaon,30920.0
Korba,82678.0
Koriya,45514.0
Mahasamund,53691.0
Mungeli,36076.0
Narayanpur,16040.0
Raigarh,105528.0
Raipur,83143.0
Rajnandgaon,81632.0
Sukma,24655.0
Surajpur,45544.0
Surguja,36179.0
Uttar Bastar Kanker,48112.0
Dadra and Nagar Haveli,15517.0
Daman,3841.0
Diu,679.0
North Goa,32758.0
South Goa,23567.0
Ahmadabad,126525.0
Amreli,73435.0
Anand,44172.0
Aravalli,33286.0
Banas Kantha,105079.0
Bharuch,97856.0
Bhavnagar,75690.0
Botad,16655.0
Chhota Udaipur,34385.0
Dahod,44224.0
Devbhumi Dwarka,55779.0
Gandhinagar,47485.0
Gir Somnath,28594.0
Jamnagar,93397.0
Junagadh,69626.0
Kachchh,222329.0
Kheda,56747.0
Mahesana,69085.0
Mahisagar,22993.0
Morbi,58356.0
Narmada,22346.0
Navsari,26096.0
Panch Mahals,35191.0
Patan,58339.0
Porbandar,23475.0
Rajkot,99009.0
Sabar Kantha,42854.0
Surat,99396.0
Surendranagar,92238.0
Tapi,30388.0
The Dangs,10344.0
Vadodara,78986.0
Valsad,43506.0
Ambala,38839.0
Bhiwani,61005.0
Faridabad,47566.0
Fatehabad,34202.0
Gurgaon,56068.0
Hisar,60213.0
Jhajjar,42959.0
Jind,44622.0
Kaithal,40017.0
Karnal,60082.0
Kurukshetra,34961.0
Mahendragarh,32123.0
Mewat,28656.0
Palwal,21116.0
Panchkula,18844.0
Panipat,40154.0
Rewari,30501.0
Rohtak,31847.0
Sirsa,58055.0
Sonipat,52995.0
Yamunanagar,24933.0
Bilaspur,13784.0
Chamba,26662.0
Hamirpur,11324.0
Kangra,46860.0
Kinnaur,15396.0
Kinnaur,378.0
Kinnaur,0.0
Kullu,22525.0
Lahul & Spiti,5739.0
Lahul & Spiti,96.0
Mandi,31030.0
Shimla,35676.0
Sirmaur,24891.0
Solan,31113.0
Una,17875.0
Anantnag,16921.0
Badgam,13089.0
Bandipore,6160.0
Baramulla,26086.0
Doda,17703.0
Ganderbal,9796.0
Jammu,63791.0
Kargil,14689.0
Kathua,38357.0
Kishtwar,8429.0
Kulgam,7218.0
Kupwara,15427.0
Leh (Ladakh),53575.0
Poonch,16229.0
Pulwama,9415.0
Rajouri,30558.0
Ramban,9802.0
Reasi,18898.0
Samba,23293.0
Shupiyan,6435.0
Srinagar,17179.0
Udhampur,30276.0
Bokaro,63421.0
Chatra,16863.0
Deoghar,32610.0
Dhanbad,66750.0
Dumka,34326.0
Garhwa,21831.0
Giridih,42938.0
Godda,21706.0
Gumla,34678.0
Hazaribagh,61958.0
Jamtara,19682.0
Khunti,20943.0
Kodarma,16056.0
Latehar,27531.0
Lohardaga,13646.0
Pakur,16168.0
Palamu,36055.0
Pashchimi Singhbhum,67156.0
Purbi Singhbhum,52469.0
Ramgarh,36343.0
Ranchi,75073.0
Sahibganj,20611.0
Saraikela-kharsawan,38539.0
Simdega,19091.0
Bagalkot,68118.0
Bangalore,117766.0
Bangalore Rural,53223.0
Belgaum,134064.0
Bellary,104252.0
Bidar,61228.0
Bijapur,96662.0
Chamrajnagar,47662.0
Chikballapura,49744.0
Chikmagalur,50345.0
Chitradurga,83402.0
Dakshina Kannada,42826.0
Davanagere,69387.0
Dharwad,47701.0
Gadag,43232.0
Gulbarga,117999.0
Hassan,67585.0
Haveri,47412.0
Kodagu,20324.0
Kolar,59781.0
Koppal,57991.0
Mandya,60334.0
Mysore,81102.0
Raichur,89563.0
Ramanagara,49432.0
Shimoga,48957.0
Tumkur,114937.0
Udupi,28188.0
Uttara Kannada,48771.0
Yadgir,52795.0
Alappuzha,15189.0
Ernakulam,41794.0
Idukki,31162.0
Kannur,17382.0
Kasaragod,11149.0
Kollam,24537.0
Kottayam,20029.0
Kozhikode,16946.0
Malappuram,24127.0
Palakkad,37669.0
Pathanamthitta,18538.0
Thiruvananthapuram,28623.0
Thrissur,31694.0
Wayanad,12425.0
Lakshadweep,274.0
Agar Malwa,26593.0
Alirajpur,30051.0
Anuppur,27549.0
Ashoknagar,44224.0
Balaghat,63795.0
Barwani,41018.0
Betul,67514.0
Bhind,50973.0
Bhopal,55713.0
Burhanpur,22612.0
Chhatarpur,84524.0
Chhindwara,84673.0
Damoh,66742.0
Datia,28819.0
Dewas,70828.0
Dhar,81306.0
Dindori,35916.0
East Nimar,59071.0
Guna,70731.0
Gwalior,64601.0
Harda,24885.0
Hoshangabad,55013.0
Indore,80633.0
Jabalpur,58442.0
Jhabua,34614.0
Katni,65904.0
Mandla,44411.0
Mandsaur,54548.0
Morena,55985.0
Narsimhapur,54427.0
Neemuch,41318.0
Panna,51314.0
Raisen,86084.0
Rajgarh,62096.0
Ratlam,51903.0
Rewa,74095.0
Sagar,110463.0
Satna,86596.0
Sehore,67643.0
Seoni,71428.0
Shahdol,66930.0
Shajapur,37443.0
Sheopur,41502.0
Shivpuri,91297.0
Sidhi,42176.0
Singrauli,74074.0
Tikamgarh,57700.0
Ujjain,72037.0
Umaria,30201.0
Vidisha,76048.0
West Nimar,69463.0
Ahmadnagar,186866.0
Akola,58439.0
Amravati,110615.0
Aurangabad,110294.0
Bhandara,44330.0
Bid,112287.0
Buldana,87905.0
Chandrapur,111503.0
Dhule,68289.0
Garhchiroli,98189.0
