NAME_2,Sum_of_Lights_2019
Nicobar Islands,3027.0
North and Middle Andaman,11524.0
South Andaman,9390.0
Anantapur,200801.0
Chittoor,196402.0
East Godavari,151234.0
Guntur,167068.0
Krishna,133257.0
Kurnool,177160.0
Nellore,163011.0
Prakasam,186444.0
Srikakulam,71874.0
Visakhapatnam,145707.0
Vizianagaram,59892.0
West Godavari,105471.0
Y.S.R.,155631.0
Anjaw,2240.0
Anjaw,2842.0
Changlang,18040.0
Dibang Valley,5078.0
East Kameng,7610.0
East Siang,7600.0
East Siang,7716.0
Kurung Kumey,4578.0
Lohit,9981.0
Lohit,0.0
Longding,5424.0
Lower Dibang Valley,4702.0
Lower Dibang Valley,1204.0
Lower Subansiri,12902.0
Namsai,4869.0
Papum Pare,21376.0
Tawang,6192.0
Tirap,9076.0
Upper Siang,9583.0
Upper Subansiri,8608.0
West Kameng,18226.0
West Siang,11827.0
Baksa,24419.0
Barpeta,23138.0
Bongaigaon,13039.0
Cachar,35923.0
Chirang,14986.0
Darrang,18962.0
Dhemaji,19979.0
Dhubri,31662.0
Dibrugarh,61164.0
Dima Hasao,23509.0
Goalpara,24302.0
Golaghat,49417.0
Hailakandi,13433.0
Jorhat,31345.0
Kamrup,45421.0
Kamrup Metropolitan,22451.0
Karbi Anglong,61416.0
Karimganj,20847.0
Kokrajhar,33246.0
Lakhimpur,29439.0
Morigaon,16763.0
Nagaon,48105.0
Nalbari,11446.0
Sivasagar,44754.0
Sonitpur,57172.0
Tinsukia,64368.0
Udalguri,23444.0
Araria,44936.0
Arwal,13569.0
Aurangabad,62964.0
Banka,46701.0
Begusarai,45365.0
Bhagalpur,54422.0
Bhojpur,52071.0
Buxar,33522.0
Darbhanga,43992.0
Gaya,100052.0
Gopalganj,47447.0
Jamui,43377.0
Jehanabad,27647.0
Kaimur,48392.0
Katihar,45668.0
Khagaria,21995.0
Kishanganj,25407.0
Lakhisarai,21833.0
Madhepura,36117.0
Madhubani,60149.0
Munger,23923.0
Muzaffarpur,77766.0
Nalanda,59273.0
Nawada,40948.0
Pashchim Champaran,73065.0
Patna,102684.0
Purba Champaran,77307.0
Purnia,57130.0
Rohtas,72014.0
Saharsa,32636.0
Samastipur,55670.0
Saran,75059.0
Sheikhpura,12756.0
Sheohar,12346.0
Sitamarhi,36315.0
Siwan,53509.0
Supaul,41759.0
Vaishali,53417.0
Chandigarh,9499.0
Balod,28586.0
Baloda Bazar,72947.0
Balrampur,61470.0
Bastar,57492.0
Bemetara,42819.0
Bijapur,66801.0
Bilaspur,105779.0
Dantewada,30548.0
Dhamtari,40232.0
Durg,64150.0
Gariaband,34569.0
Janjgir-Champa,71746.0
Jashpur,57893.0
Kabeerdham,56236.0
Kondagaon,42776.0
Korba,100604.0
Koriya,70374.0
Mahasamund,62152.0
Mungeli,47091.0
Narayanpur,32351.0
Raigarh,108850.0
Raipur,89748.0
Rajnandgaon,88138.0
Sukma,33318.0
Surajpur,60742.0
Surguja,47975.0
Uttar Bastar Kanker,64216.0
Dadra and Nagar Haveli,17159.0
Daman,3918.0
Diu,995.0
North Goa,41894.0
South Goa,32515.0
Ahmadabad,159181.0
Amreli,85419.0
Anand,55430.0
Aravalli,39785.0
Banas Kantha,132298.0
Bharuch,115464.0
Bhavnagar,93109.0
Botad,20759.0
Chhota Udaipur,42971.0
Dahod,49925.0
Devbhumi Dwarka,66485.0
Gandhinagar,61940.0
Gir Somnath,35233.0
Jamnagar,105201.0
Junagadh,85232.0
Kachchh,303391.0
Kheda,70325.0
Mahesana,90730.0
Mahisagar,26186.0
Morbi,82397.0
Narmada,29644.0
Navsari,33509.0
Panch Mahals,42763.0
Patan,72353.0
Porbandar,29447.0
Rajkot,122369.0
Sabar Kantha,55747.0
Surat,121035.0
Surendranagar,114892.0
Tapi,37510.0
The Dangs,15153.0
Vadodara,98596.0
Valsad,55503.0
Ambala,46415.0
Bhiwani,74671.0
Faridabad,57356.0
Fatehabad,40060.0
Gurgaon,65132.0
Hisar,71938.0
Jhajjar,53064.0
Jind,50792.0
Kaithal,41670.0
Karnal,66432.0
Kurukshetra,39154.0
Mahendragarh,35655.0
Mewat,41523.0
Palwal,31280.0
Panchkula,23045.0
Panipat,44634.0
Rewari,34605.0
Rohtak,37861.0
Sirsa,63089.0
Sonipat,63292.0
Yamunanagar,32288.0
Bilaspur,15683.0
Chamba,62193.0
Hamirpur,13320.0
Kangra,67886.0
Kinnaur,60696.0
Kinnaur,1120.0
Kinnaur,959.0
Kullu,53612.0
Lahul & Spiti,130554.0
Lahul & Spiti,1841.0
Mandi,42809.0
Shimla,52418.0
Sirmaur,33402.0
Solan,37531.0
Una,22524.0
Anantnag,30695.0
Badgam,19302.0
Bandipore,25855.0
Baramulla,32314.0
Doda,28199.0
Ganderbal,15011.0
Jammu,69089.0
