NAME_2,Sum_of_Lights_2017
Nicobar Islands,3635.0
North and Middle Andaman,12337.0
South Andaman,8809.0
Anantapur,180271.0
Chittoor,167317.0
East Godavari,129293.0
Guntur,147633.0
Krishna,112295.0
Kurnool,165353.0
Nellore,145419.0
Prakasam,169036.0
Srikakulam,64044.0
Visakhapatnam,139604.0
Vizianagaram,57570.0
West Godavari,85482.0
Y.S.R.,139708.0
Anjaw,1842.0
Anjaw,5555.0
Changlang,17119.0
Dibang Valley,20188.0
East Kameng,8706.0
East Siang,6569.0
East Siang,8035.0
Kurung Kumey,13311.0
Lohit,9927.0
Lohit,0.0
Longding,5083.0
Lower Dibang Valley,6292.0
Lower Dibang Valley,1498.0
Lower Subansiri,14336.0
Namsai,4250.0
Papum Pare,22698.0
Tawang,6394.0
Tirap,9252.0
Upper Siang,10341.0
Upper Subansiri,16757.0
West Kameng,23372.0
West Siang,16205.0
Baksa,23188.0
Barpeta,22038.0
Bongaigaon,12425.0
Cachar,32512.0
Chirang,14363.0
Darrang,18033.0
Dhemaji,20156.0
Dhubri,29514.0
Dibrugarh,65809.0
Dima Hasao,24930.0
Goalpara,23905.0
Golaghat,46170.0
Hailakandi,12213.0
Jorhat,29354.0
Kamrup,41437.0
Kamrup Metropolitan,19847.0
Karbi Anglong,63635.0
Karimganj,19360.0
Kokrajhar,30458.0
Lakhimpur,27479.0
Morigaon,16763.0
Nagaon,47181.0
Nalbari,10670.0
Sivasagar,46901.0
Sonitpur,55277.0
Tinsukia,64055.0
Udalguri,23069.0
Araria,37774.0
Arwal,10734.0
Aurangabad,51789.0
Banka,36614.0
Begusarai,36351.0
Bhagalpur,43871.0
Bhojpur,40109.0
Buxar,24092.0
Darbhanga,34640.0
Gaya,80556.0
Gopalganj,36173.0
Jamui,33632.0
Jehanabad,18826.0
Kaimur,39883.0
Katihar,36582.0
Khagaria,18332.0
Kishanganj,24241.0
Lakhisarai,17453.0
Madhepura,31664.0
Madhubani,46891.0
Munger,20973.0
Muzaffarpur,57602.0
Nalanda,51133.0
Nawada,35028.0
Pashchim Champaran,64197.0
Patna,84267.0
Purba Champaran,53895.0
Purnia,43336.0
Rohtas,57430.0
Saharsa,27516.0
Samastipur,43991.0
Saran,48218.0
Sheikhpura,9956.0
Sheohar,8954.0
Sitamarhi,26948.0
Siwan,33543.0
Supaul,34540.0
Vaishali,39132.0
Chandigarh,9415.0
Balod,27265.0
Baloda Bazar,67114.0
Balrampur,58771.0
Bastar,54818.0
Bemetara,39099.0
Bijapur,63932.0
Bilaspur,98299.0
Dantewada,29289.0
Dhamtari,39999.0
Durg,58405.0
Gariaband,36794.0
Janjgir-Champa,67481.0
Jashpur,55468.0
Kabeerdham,55181.0
Kondagaon,42585.0
Korba,96804.0
Koriya,67810.0
Mahasamund,58002.0
Mungeli,42304.0
Narayanpur,27875.0
Raigarh,103519.0
Raipur,81456.0
Rajnandgaon,85973.0
Sukma,33519.0
Surajpur,58929.0
Surguja,44033.0
Uttar Bastar Kanker,62209.0
Dadra and Nagar Haveli,16161.0
Daman,3839.0
Diu,842.0
North Goa,35556.0
South Goa,28892.0
Ahmadabad,140608.0
Amreli,83144.0
Anand,48735.0
Aravalli,37034.0
Banas Kantha,124131.0
Bharuch,102875.0
Bhavnagar,86942.0
Botad,18985.0
Chhota Udaipur,39630.0
Dahod,47301.0
Devbhumi Dwarka,62461.0
Gandhinagar,51637.0
Gir Somnath,31487.0
Jamnagar,103534.0
Junagadh,80037.0
Kachchh,311317.0
Kheda,62198.0
Mahesana,76577.0
Mahisagar,25136.0
Morbi,70846.0
Narmada,26820.0
Navsari,28668.0
Panch Mahals,38546.0
Patan,66513.0
Porbandar,27295.0
Rajkot,111418.0
Sabar Kantha,49725.0
Surat,105983.0
Surendranagar,107100.0
Tapi,34870.0
The Dangs,14659.0
Vadodara,85217.0
Valsad,47170.0
Ambala,41044.0
Bhiwani,67498.0
Faridabad,49955.0
Fatehabad,35151.0
Gurgaon,57751.0
Hisar,64075.0
Jhajjar,45013.0
Jind,44964.0
Kaithal,38591.0
Karnal,60862.0
Kurukshetra,36216.0
Mahendragarh,32726.0
Mewat,32300.0
Palwal,24421.0
Panchkula,21218.0
Panipat,37433.0
Rewari,31950.0
Rohtak,32567.0
Sirsa,59556.0
Sonipat,55336.0
Yamunanagar,28364.0
Bilaspur,15230.0
Chamba,65999.0
Hamirpur,12936.0
Kangra,65931.0
Kinnaur,60715.0
Kinnaur,1120.0
Kinnaur,959.0
Kullu,55459.0
Lahul & Spiti,131786.0
Lahul & Spiti,1841.0
Mandi,42687.0
Shimla,54004.0
Sirmaur,32099.0
Solan,34587.0
Una,20640.0
Anantnag,30792.0
Badgam,18606.0
Bandipore,25745.0
Baramulla,32682.0
Doda,28443.0
Ganderbal,15478.0
Jammu,67080.0
Kargil,146295.0
Kathua,43746.0
Kishtwar,76426.0
Kulgam,14684.0
Kupwara,29541.0
Leh (Ladakh),471070.0
Poonch,22900.0
Pulwama,11432.0
Rajouri,37417.0
Ramban,12215.0
Reasi,27178.0
Samba,24156.0
Shupiyan,8730.0
Srinagar,20096.0
Udhampur,36187.0
Bokaro,66784.0
Chatra,36771.0
Deoghar,42902.0
Dhanbad,69572.0
Dumka,40275.0
Garhwa,36937.0
Giridih,58440.0
Godda,27466.0
Gumla,47833.0
Hazaribagh,71606.0
Jamtara,23279.0
Khunti,26351.0
Kodarma,18961.0
Latehar,38484.0
Lohardaga,16595.0
