NAME_2,Sum_of_Lights_2021
Nicobar Islands,1941.0
North and Middle Andaman,7133.0
South Andaman,8354.0
Anantapur,203452.0
Chittoor,196893.0
East Godavari,143201.0
Guntur,169022.0
Krishna,139512.0
Kurnool,181539.0
Nellore,160990.0
Prakasam,192475.0
Srikakulam,75285.0
Visakhapatnam,136675.0
Vizianagaram,56884.0
West Godavari,107322.0
Y.S.R.,163384.0
Anjaw,1869.0
Anjaw,4318.0
Changlang,17798.0
Dibang Valley,2938.0
East Kameng,6583.0
East Siang,7320.0
East Siang,4935.0
Kurung Kumey,2079.0
Lohit,9734.0
Lohit,0.0
Longding,3494.0
Lower Dibang Valley,4795.0
Lower Dibang Valley,1295.0
Lower Subansiri,9536.0
Namsai,5728.0
Papum Pare,21486.0
Tawang,5386.0
Tirap,6791.0
Upper Siang,2625.0
Upper Subansiri,3598.0
West Kameng,16189.0
West Siang,8417.0
Baksa,24294.0
Barpeta,25344.0
Bongaigaon,14268.0
Cachar,35967.0
Chirang,14574.0
Darrang,19405.0
Dhemaji,17264.0
Dhubri,33973.0
Dibrugarh,64508.0
Dima Hasao,18076.0
Goalpara,26877.0
Golaghat,52464.0
Hailakandi,12586.0
Jorhat,30615.0
Kamrup,48306.0
Kamrup Metropolitan,24121.0
Karbi Anglong,65035.0
Karimganj,22190.0
Kokrajhar,34794.0
Lakhimpur,29387.0
Morigaon,18137.0
Nagaon,52628.0
Nalbari,11949.0
Sivasagar,43789.0
Sonitpur,60842.0
Tinsukia,67274.0
Udalguri,23998.0
Araria,49884.0
Arwal,16234.0
Aurangabad,69903.0
Banka,48283.0
Begusarai,52648.0
Bhagalpur,62175.0
Bhojpur,56402.0
Buxar,36180.0
Darbhanga,52555.0
Gaya,111684.0
Gopalganj,48529.0
Jamui,48973.0
Jehanabad,31741.0
Kaimur,45223.0
Katihar,49786.0
Khagaria,25395.0
Kishanganj,28828.0
Lakhisarai,26172.0
Madhepura,38645.0
Madhubani,73197.0
Munger,27607.0
Muzaffarpur,88796.0
Nalanda,61835.0
Nawada,47909.0
Pashchim Champaran,75128.0
Patna,110296.0
Purba Champaran,87136.0
Purnia,61503.0
Rohtas,76927.0
Saharsa,35529.0
Samastipur,66839.0
Saran,69830.0
Sheikhpura,15629.0
Sheohar,15089.0
Sitamarhi,43938.0
Siwan,49879.0
Supaul,45854.0
Vaishali,61385.0
Chandigarh,9549.0
Balod,31078.0
Baloda Bazar,76687.0
Balrampur,59183.0
Bastar,52341.0
Bemetara,44818.0
Bijapur,41797.0
